OBJECTID,Date,Species,Count,Repeat_Observation,Substrate,,,Notes,,,Activity,GlobalID,CreationDate,Creator,EditDate,Editor,,x,y
3,2017-10-30,Least Sandpiper,3,No,Mud,,,,,,Foraging/Hunting,09f46f91-e7ec-405a-9af1-560c44f67ffb,10/30/2017 2:59:14 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:04:50 PM,clark@ccber.ucsb.edu_ucsb,,-119.8740467,34.41769777
4,2017-10-30,White-crowned Sparrow,2,No,Fence,,,,,,Resting/Roosting,b992c834-2d3e-4871-a4c2-8101ad673882,10/30/2017 3:06:36 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:06:36 PM,clark@ccber.ucsb.edu_ucsb,,-119.8741022,34.41756737
5,2017-10-30,,1,No,Fence,,,Turkey Vulture,,,Foraging/Hunting,a78da5b2-b3f9-4706-a78a-cd65f1f45ff0,10/30/2017 3:15:06 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:15:06 PM,clark@ccber.ucsb.edu_ucsb,,-119.8737486,34.4186845
6,2017-10-30,Mallard,2,No,,,,Flyover,,,Foraging/Hunting,04da93e0-4f17-4880-9bbe-93221e7a9dca,10/30/2017 3:16:29 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:16:29 PM,clark@ccber.ucsb.edu_ucsb,,-119.8749392,34.41909009
7,2017-10-30,Mallard,2,No,Water - Floating,,,,,,,86f2d117-7fb4-4ea7-a181-2815a3540a83,10/30/2017 3:17:01 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:17:01 PM,clark@ccber.ucsb.edu_ucsb,,-119.8752266,34.41885535
8,2017-10-30,American Pipit,1,No,Habitat Feature - Hibernacula,,,,,,Foraging/Hunting,b30895c6-da68-444f-9777-7cd2ec9f3923,10/30/2017 3:20:13 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:20:13 PM,clark@ccber.ucsb.edu_ucsb,,-119.8744837,34.41928684
9,2017-10-30,American Pipit,11,No,,,,flyover,,,Foraging/Hunting,8174b72b-9ddf-4f01-8edf-0d0205f20a93,10/30/2017 3:20:44 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:20:44 PM,clark@ccber.ucsb.edu_ucsb,,-119.8745471,34.41937472
10,2017-10-30,,1,No,Water - Floating,,,NOPI,,,Foraging/Hunting,073d38f9-8ca3-4eb3-ac37-2d50dc695dd2,10/30/2017 3:28:21 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:28:21 PM,clark@ccber.ucsb.edu_ucsb,,-119.8734008,34.42180704
11,2017-10-30,American Pipit,12,Yes,Bare ground,,,flew over onto other side of trail,,,Foraging/Hunting,15ff3514-f71e-4b4f-bc03-534f1b28247c,10/30/2017 3:31:20 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:31:37 PM,clark@ccber.ucsb.edu_ucsb,,-119.8724864,34.42066746
12,2017-10-30,Killdeer,3,No,Bare ground,,,,,,Resting/Roosting,311975ff-a958-42e4-9daf-1d1bee901b67,10/30/2017 3:32:39 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:32:39 PM,clark@ccber.ucsb.edu_ucsb,,-119.8725243,34.4210949
13,2017-10-30,Loggerhead Shrike,1,No,Fence,,,temporary wetland fence,,,Resting/Roosting,18f402c2-7182-4a14-a438-b4cc84303b24,10/30/2017 3:34:29 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:34:29 PM,clark@ccber.ucsb.edu_ucsb,,-119.8719776,34.42115462
14,2017-10-30,Song Sparrow,2,No,Vegetation - Herbaceous,,,,,,Foraging/Hunting,bc78e446-4d2a-4f75-9a35-1ca28f92222c,10/30/2017 3:36:06 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:36:06 PM,clark@ccber.ucsb.edu_ucsb,,-119.8717416,34.42092874
15,2017-10-30,Scaly-breasted Munia,5,No,Vegetation - Herbaceous,,,,,,Foraging/Hunting,59dcd8a3-1d1c-43e3-bd1c-729f3246b91b,10/30/2017 3:36:37 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:36:37 PM,clark@ccber.ucsb.edu_ucsb,,-119.8715475,34.42097005
16,2017-10-30,Song Sparrow,1,No,Fence,,,,,,Resting/Roosting,a4152952-a333-483f-955a-3e9ad61c5715,10/30/2017 3:44:16 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:44:16 PM,clark@ccber.ucsb.edu_ucsb,,-119.8707347,34.42141005
17,2017-10-30,Black Phoebe,1,No,Bare ground,,,shade structure,,,Resting/Roosting,391fd492-eb66-4774-b201-b4bb1b9216e8,10/30/2017 3:44:55 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:44:55 PM,clark@ccber.ucsb.edu_ucsb,,-119.8709667,34.42155991
18,2017-10-30,Yellow-rumped Warbler,4,No,Vegetation - Tree,,,,,,Foraging/Hunting,8e139149-4a33-4415-9bac-16fde09cdad5,10/30/2017 3:50:21 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:50:21 PM,clark@ccber.ucsb.edu_ucsb,,-119.8720179,34.42199863
19,2017-10-30,Ruby-crowned Kinglet,1,No,Vegetation - Shrub,,,,,,Foraging/Hunting,403c0f20-d8a2-4717-9c8b-ad42f28ee374,10/30/2017 3:51:39 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:51:39 PM,clark@ccber.ucsb.edu_ucsb,,-119.8721578,34.42241037
20,2017-10-30,White-crowned Sparrow,4,No,Vegetation - Shrub,,,,,,Foraging/Hunting,40d52889-5d62-4cd7-a2f9-e9790b24ae3c,10/30/2017 3:52:14 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:52:14 PM,clark@ccber.ucsb.edu_ucsb,,-119.8721221,34.42246919
21,2017-10-30,House Finch,2,No,Vegetation - Shrub,,,,,,Foraging/Hunting,0d915095-2fef-4ccd-8815-166557955de6,10/30/2017 3:53:02 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:53:02 PM,clark@ccber.ucsb.edu_ucsb,,-119.8721032,34.42238338
22,2017-10-30,American Crow,4,No,Bare ground,,,,,,Foraging/Hunting,4b26e945-70b2-4553-8401-0de9e6cf0da3,10/30/2017 3:58:33 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:58:33 PM,clark@ccber.ucsb.edu_ucsb,,-119.8721988,34.42223374
23,2017-10-30,Black Phoebe,1,No,Vegetation - Tree,,,,,,Foraging/Hunting,48c4602f-9ecb-4157-a587-de953f7bba9e,10/30/2017 3:59:16 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:59:16 PM,clark@ccber.ucsb.edu_ucsb,,-119.8724353,34.42211942
24,2017-10-30,Song Sparrow,2,No,Vegetation - Herbaceous,,,,,,Foraging/Hunting,7066edcc-e401-40fb-8268-ac55d863f61d,10/30/2017 4:00:03 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:03:28 PM,clark@ccber.ucsb.edu_ucsb,,-119.8725523,34.42209444
25,2017-10-30,Common Yellowthroat,1,No,Vegetation - Herbaceous,,,,,,Foraging/Hunting,bf7cdb42-435c-46d0-8f1d-012b3ce1abad,10/30/2017 4:03:52 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:03:52 PM,clark@ccber.ucsb.edu_ucsb,,-119.8729013,34.42202995
26,2017-10-30,Song Sparrow,1,No,Vegetation - Herbaceous,,,,,,Foraging/Hunting,ce47eadd-6c53-45e6-b561-a2a4a889944a,10/30/2017 4:04:21 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:04:21 PM,clark@ccber.ucsb.edu_ucsb,,-119.8730743,34.4219577
27,2017-10-30,American Crow,1,No,Fence,,,,,,Foraging/Hunting,02a9f8f2-8e94-4bf2-b259-2348ba090330,10/30/2017 4:04:45 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:04:45 PM,clark@ccber.ucsb.edu_ucsb,,-119.8735448,34.42194767
28,2017-10-30,,1,No,Vegetation - Herbaceous,,,ALHU male,,,Foraging/Hunting,23d44d8e-0394-417f-946e-1cddbb80216e,10/30/2017 4:06:18 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:06:38 PM,clark@ccber.ucsb.edu_ucsb,,-119.8732336,34.42172128
29,2017-10-30,Scaly-breasted Munia,25,No,Vegetation - Herbaceous,,,,,,Foraging/Hunting,e129762c-43d3-45ad-9c07-817d1932695c,10/30/2017 4:07:10 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:07:10 PM,clark@ccber.ucsb.edu_ucsb,,-119.8738279,34.42175844
30,2017-10-30,,1,No,Vegetation - Herbaceous,,,UNHU,,,Foraging/Hunting,918ba50f-da23-4ff5-a2f7-e8dd70e8fdc4,10/30/2017 4:07:51 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:07:51 PM,clark@ccber.ucsb.edu_ucsb,,-119.8731789,34.4217339
31,2017-10-30,Black Phoebe,2,Yes,Vegetation - Herbaceous,,,at least 1 was probably observed earlier on Whittier channel,,,Foraging/Hunting,5c4309c5-f0b8-45ae-a2f9-bf0a0f71d4d4,10/30/2017 4:10:46 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:13:38 PM,clark@ccber.ucsb.edu_ucsb,,-119.8733001,34.42168605
32,2017-10-30,,,No,Vegetation - Tree,,,ECDO,,,Foraging/Hunting,47429d01-d9bb-4ff7-bec5-478348894a18,10/30/2017 4:12:00 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:12:44 PM,clark@ccber.ucsb.edu_ucsb,,-119.8739088,34.42179284
33,2017-10-30,,1,Yes,Water - Floating,,,NOPI,,,Foraging/Hunting,31f7251b-1025-4a36-9fa4-5b2e819c87f6,10/30/2017 4:15:34 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:15:34 PM,clark@ccber.ucsb.edu_ucsb,,-119.8744003,34.42054212
34,2017-10-30,Western Meadowlark,6,Yes,Bare ground,,,,,,Foraging/Hunting,b487d1ff-1024-4443-b9a7-688403d47021,10/30/2017 4:25:32 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:25:32 PM,clark@ccber.ucsb.edu_ucsb,,-119.8765778,34.42037799
