OBJECTID,Species,Substrate,Activity,Count,Notes,GlobalID,CreationDate,Creator,EditDate,Editor,Repeat_Observation,Start_Temp_F,Start_Cloud_Cover %,Start_Cloud_Height,Start_Wind_Speed,Start_Wind_Direction,Rain,Observers,Date,Start_Time,End_Time,Water_Level,x,y
3,,Mud,Foraging/Hunting,1,flew off quickly - pipit?,7b8b7a25-9f2a-4c8c-aa27-e58ea589fa80,11/16/2017 3:27:10 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 3:27:10 PM,clark@ccber.ucsb.edu_ucsb,No,60,80,Medium,None,None,None,"RC, SO, WC, SF",11/16/2017 3:25:50 PM,7:25,,4.5,-119.873832072059,34.4179256034131
4,American Pipit,Habitat Feature - Log,Resting/Roosting,1,same bird seen earlier,1bbbc368-a677-4830-987e-210c7b40ed1f,11/16/2017 3:30:47 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 3:30:47 PM,clark@ccber.ucsb.edu_ucsb,Yes,,,,,,,,,,,,-119.874281284498,34.4190351950876
5,Greater White-fronted Goose,Mud,Foraging/Hunting,12,,eef08719-bd07-4ee3-9b57-6bb64bf63297,11/16/2017 3:31:47 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 3:31:47 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.874440434526,34.4191813042668
6,Cackling Goose,Mud,Foraging/Hunting,1,,9fb194a9-0deb-436b-9aed-ea0a88bf49a6,11/16/2017 3:32:19 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 3:32:19 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.874404497423,34.4191664819411
7,American Pipit,Mud,Foraging/Hunting,2,one bird was probably seen twice before,2c62d6ee-6ceb-4529-876f-e6bf022518fc,11/16/2017 3:35:42 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 3:35:42 PM,clark@ccber.ucsb.edu_ucsb,Yes,,,,,,,,,,,,-119.874509741346,34.4191094305608
8,Killdeer,Mud,Resting/Roosting,3,1 is about  20 feet away from others,2f1dccaa-37d8-4848-bc2c-dbd6dcad5f2c,11/16/2017 3:43:12 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 3:43:12 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.874253048652,34.4204337835279
9,Western Sandpiper,Mud,Foraging/Hunting,4,"western or least sandpaper, flew away south",8e9b0ef7-5d4e-4b1a-9d04-690a276dac41,11/16/2017 3:45:18 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 3:45:18 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.874324922858,34.4206984697558
10,Killdeer,Mud,Resting/Roosting,2,,c147911a-291e-481d-ae52-e1d7f3f31db6,11/16/2017 3:46:07 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 3:46:07 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.874835820811,34.420317883232
11,Killdeer,Mud,Resting/Roosting,5,,6129ebcc-de4e-4b07-aa38-456224525fae,11/16/2017 3:47:05 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 3:47:05 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.874034939498,34.42059527478
12,American Pipit,Vegetation - Herbaceous,Foraging/Hunting,3,probably 2birds are repeat obs,d4320b3a-28a4-4cd1-a195-ce45f1945ef3,11/16/2017 3:49:05 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 3:49:05 PM,clark@ccber.ucsb.edu_ucsb,Yes,,,,,,,,,,,,-119.873675569367,34.4201654239007
13,American Crow,Bare ground,Foraging/Hunting,3,,06d7ea6e-54c1-47d8-85ce-afc8d6c84a14,11/16/2017 3:50:29 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 3:50:29 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.873708939085,34.4215153179757
14,Great Blue Heron,Vegetation - Herbaceous,Foraging/Hunting,1,just outside of site,03b5f0fd-0c1e-4666-a92b-ec88c8fb1207,11/16/2017 3:52:19 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 3:52:19 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.872854151668,34.4202141260835
15,Great Blue Heron,Water - Wading,Foraging/Hunting,1,flew over with gopher and dunked in water,75428690-a033-4d06-bbb5-d8076dc9b49a,11/16/2017 3:53:53 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 3:53:53 PM,clark@ccber.ucsb.edu_ucsb,Yes,,,,,,,,,,,,-119.873542088699,34.4210367701509
16,Yellow-rumped Warbler,Vegetation - Tree,Foraging/Hunting,5,in euc,2e2a8c48-27fa-4755-bdcd-e32623897d99,11/16/2017 3:58:26 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 3:58:26 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.872791949623,34.4204253498535
17,Killdeer,Mud,Resting/Roosting,1,,3148d3e0-019a-44c4-9f79-9de395e6080b,11/16/2017 4:00:06 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:00:06 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.873028703311,34.4210058019412
18,Red-winged Blackbird,Vegetation - Tree,Resting/Roosting,2,in euc,f065b7c6-541d-4886-b80e-5be53a911428,11/16/2017 4:02:52 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:02:52 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.872299695305,34.4207032664343
19,American Crow,Vegetation - Tree,Resting/Roosting,1,,3c6a755d-304f-4685-93ba-b53bc3198188,11/16/2017 4:03:49 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:03:49 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.872774577103,34.4204152881327
20,Killdeer,Mud,Resting/Roosting,10,spread out,f4907c48-de0b-4ea8-aba3-476f0271e615,11/16/2017 4:04:35 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:04:35 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.87262569482,34.4213459203042
21,Red-winged Blackbird,Vegetation - Herbaceous,Foraging/Hunting,5,females,0a2c75a4-fd99-4194-a1d1-638feaa6363d,11/16/2017 4:06:36 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:06:36 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.871721647386,34.421060885346
22,Song Sparrow,Fence,Resting/Roosting,2,,6cb687e9-8ca3-41f9-855d-a1ae21611ef0,11/16/2017 4:07:07 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:07:07 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.871804070508,34.420915190721
23,Western Meadowlark,Bare ground,Foraging/Hunting,32,"spread out, some flew to the west",804b8af9-5423-4ca9-a591-b99e3091b2f9,11/16/2017 4:10:56 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:10:56 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.87120482684,34.4213309056961
24,House Finch,Vegetation - Herbaceous,Foraging/Hunting,2,,de0eb488-81d3-4636-8dac-3ed8bd73d46b,11/16/2017 4:13:06 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:13:06 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.870836195078,34.4210977950751
25,Common Yellowthroat,Vegetation - Herbaceous,Foraging/Hunting,1,,b5db90ae-9851-4d84-a521-5002f0a9b324,11/16/2017 4:13:31 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:13:31 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.870862099796,34.4210958521072
26,American Crow,Bare ground,Foraging/Hunting,4,two flew in from outside of site,900566cb-89ba-4fec-adb3-85159b7a4e68,11/16/2017 4:16:16 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:16:16 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.87137326365,34.4213387553531
27,American Crow,Vegetation - Herbaceous,Resting/Roosting,1,,42557b4f-b7aa-413c-93e0-95a3c4a9aa1d,11/16/2017 4:16:46 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:16:46 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.870910000662,34.4216276122885
28,American Crow,Fence,Resting/Roosting,1,,d28b07c4-3fa9-4ed8-bddf-ee2221633b3c,11/16/2017 4:17:10 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:17:10 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.870658024123,34.4210691188795
29,California Towhee,Bare ground,Foraging/Hunting,2,,3392417d-2124-4cdd-ba98-1eecc3c19dac,11/16/2017 4:20:45 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:20:45 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.87129620886,34.4216217849035
30,Anna's Hummingbird,Vegetation - Tree,Foraging/Hunting,1,in eu,f4ee200c-6431-4289-b361-ff12a13b687b,11/16/2017 4:21:38 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:21:38 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.871373921217,34.4217820474746
31,Yellow-rumped Warbler,Vegetation - Tree,Foraging/Hunting,5,in two eucs,30f7f957-8f07-4c61-b029-c8f4cc507bb1,11/16/2017 4:22:35 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:22:35 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.871458698824,34.421802444022
32,House Finch,Vegetation - Tree,Resting/Roosting,1,singing in maple,4395f52a-635d-4033-8d4b-75c8307da6fa,11/16/2017 4:24:02 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:24:02 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.871366856866,34.4221835699169
