OBJECTID,Date,Time,Common Name,Scientific Name,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
1,8/14/2019,7:09,Black Phoebe,Sayornis nigricans,1,No,Bare ground,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,d026fd4f-233e-4449-b894-31a16cbd481b,8/14/2019 14:09,clark@ccber.ucsb.edu_ucsb,8/14/2019 14:09,clark@ccber.ucsb.edu_ucsb,-119.8739414,34.41763634
2,8/14/2019,7:14,Song Sparrow,Melospiza melodia,2,No,Vegetation - Herbaceous,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,77c38efd-172e-41ec-8859-eff244bba0c8,8/14/2019 14:14,clark@ccber.ucsb.edu_ucsb,8/14/2019 14:14,clark@ccber.ucsb.edu_ucsb,-119.8752874,34.41761631
3,8/14/2019,7:17,Anna's Hummingbird,Calypte anna,2,No,Vegetation - Tree,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,763ad449-ffe7-43b2-82ea-d5ded52a412b,8/14/2019 14:17,clark@ccber.ucsb.edu_ucsb,8/14/2019 14:17,clark@ccber.ucsb.edu_ucsb,-119.8767956,34.41771416
4,8/14/2019,7:17,California Towhee,Melozone crissalis,3,No,Bare ground,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,703a9c1e-89ef-441b-aa6a-6324d6ad1bdf,8/14/2019 14:17,clark@ccber.ucsb.edu_ucsb,8/14/2019 14:18,clark@ccber.ucsb.edu_ucsb,-119.876841,34.41799521
5,8/14/2019,7:22,White-tailed Kite,Elanus leucurus,1,No,Vegetation - Tree,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,7657f71c-53ab-4a60-8923-08e34149f91a,8/14/2019 14:22,clark@ccber.ucsb.edu_ucsb,8/14/2019 14:22,clark@ccber.ucsb.edu_ucsb,-119.8774273,34.41693462
6,8/14/2019,7:33,Cassin's Kingbird,Tyrannus vociferans,1,No,Vegetation - Herbaceous,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,d52b6f4b-3371-42e3-b30c-55868e35bcbc,8/14/2019 14:33,clark@ccber.ucsb.edu_ucsb,8/14/2019 14:33,clark@ccber.ucsb.edu_ucsb,-119.8776176,34.41762226
7,8/14/2019,7:36,Loggerhead Shrike,Lanius ludovicianus,1,No,Habitat Feature - Snag,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,d8ac637f-4308-4bbf-a9fe-40a5297a62d5,8/14/2019 14:36,clark@ccber.ucsb.edu_ucsb,8/14/2019 14:36,clark@ccber.ucsb.edu_ucsb,-119.8790172,34.41781258
8,8/14/2019,7:40,Loggerhead Shrike,Lanius ludovicianus,1,Yes,Habitat Feature - Snag,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,c2faddf6-ad5e-4736-a41f-f95f94ebd7ec,8/14/2019 14:40,clark@ccber.ucsb.edu_ucsb,8/14/2019 14:40,clark@ccber.ucsb.edu_ucsb,-119.8790519,34.4190706
9,8/14/2019,7:56,Western Bluebird,Sialia mexicana,2,No,Vegetation - Tree,,,juveniles ,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,ff056f9b-8700-4fa8-a5e5-86b1f3722c89,8/14/2019 14:56,clark@ccber.ucsb.edu_ucsb,8/14/2019 14:58,clark@ccber.ucsb.edu_ucsb,-119.8802061,34.42008541
10,8/14/2019,7:57,Mourning Dove,Zenaida macroura,2,No,Flyover,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,5a207b6f-b5c6-4738-b702-2771c279a869,8/14/2019 14:57,clark@ccber.ucsb.edu_ucsb,8/14/2019 14:57,clark@ccber.ucsb.edu_ucsb,-119.8812276,34.41932648
