OBJECTID,Date,Time,Common Name,Scientific Name,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Observers,x,y,GlobalID
1,8/14/2019,7:09,Black Phoebe,Sayornis nigricans,1,No,Bare ground,,,,"WEST: Darwin, Beau, Eirik",-119.8739414,34.41763634,d026fd4f-233e-4449-b894-31a16cbd481b
2,8/14/2019,7:14,Song Sparrow,Melospiza melodia,2,No,Vegetation - Herbaceous,,,,"WEST: Darwin, Beau, Eirik",-119.8752874,34.41761631,77c38efd-172e-41ec-8859-eff244bba0c8
3,8/14/2019,7:17,Anna's Hummingbird,Calypte anna,2,No,Vegetation - Tree,,,,"WEST: Darwin, Beau, Eirik",-119.8767956,34.41771416,763ad449-ffe7-43b2-82ea-d5ded52a412b
4,8/14/2019,7:17,California Towhee,Melozone crissalis,3,No,Bare ground,,,,"WEST: Darwin, Beau, Eirik",-119.876841,34.41799521,703a9c1e-89ef-441b-aa6a-6324d6ad1bdf
5,8/14/2019,7:22,White-tailed Kite,Elanus leucurus,1,No,Vegetation - Tree,,,,"WEST: Darwin, Beau, Eirik",-119.8774273,34.41693462,7657f71c-53ab-4a60-8923-08e34149f91a
6,8/14/2019,7:33,Cassin's Kingbird,Tyrannus vociferans,1,No,Vegetation - Herbaceous,,,,"WEST: Darwin, Beau, Eirik",-119.8776176,34.41762226,d52b6f4b-3371-42e3-b30c-55868e35bcbc
7,8/14/2019,7:36,Loggerhead Shrike,Lanius ludovicianus,1,No,Habitat Feature - Snag,,,,"WEST: Darwin, Beau, Eirik",-119.8790172,34.41781258,d8ac637f-4308-4bbf-a9fe-40a5297a62d5
8,8/14/2019,7:40,Loggerhead Shrike,Lanius ludovicianus,1,Yes,Habitat Feature - Snag,,,,"WEST: Darwin, Beau, Eirik",-119.8790519,34.4190706,c2faddf6-ad5e-4736-a41f-f95f94ebd7ec
9,8/14/2019,7:56,Western Bluebird,Sialia mexicana,2,No,Vegetation - Tree,,,juveniles ,"WEST: Darwin, Beau, Eirik",-119.8802061,34.42008541,ff056f9b-8700-4fa8-a5e5-86b1f3722c89
10,8/14/2019,7:57,Mourning Dove,Zenaida macroura,2,No,Flyover,,,,"WEST: Darwin, Beau, Eirik",-119.8812276,34.41932648,5a207b6f-b5c6-4738-b702-2771c279a869
11,8/14/2019,7:58,Killdeer,Charadrius vociferus,6,No,Bare ground,,,,"WEST: Darwin, Beau, Eirik",-119.8792208,34.41984791,ee3fe054-59ba-4642-bf52-fe597ef0fb04
12,8/14/2019,8:09,Yellow Warbler,Setophaga petechia,1,No,Vegetation - Tree,,,,"WEST: Darwin, Beau, Eirik",-119.8778329,34.41945269,0d841ec2-0a96-4a9a-9ed4-1609e18fa244
13,8/14/2019,8:10,House Wren,Troglodytes aedon,1,No,Vegetation - Tree,,,,"WEST: Darwin, Beau, Eirik",-119.8776459,34.41932207,f636c0ee-2a04-4ae6-a895-f140b368a9a6
14,8/14/2019,8:10,California Towhee,Melozone crissalis,1,No,Vegetation - Tree,,,,"WEST: Darwin, Beau, Eirik",-119.8777377,34.41939458,445564f0-1eda-4641-b9d4-b6c9a7d21833
15,8/14/2019,8:12,Black Phoebe,Sayornis nigricans,1,No,Vegetation - Herbaceous,,,,"WEST: Darwin, Beau, Eirik",-119.877226,34.4199102,35775ec0-477c-4e58-80c2-6bf144024306
16,8/14/2019,8:17,Pied-billed Grebe,Podilymbus podiceps,1,Yes,Water - Floating,,,,"WEST: Darwin, Beau, Eirik",-119.8770306,34.42010548,f66500ff-165c-4b29-8a17-90efa14e1087
17,8/14/2019,8:17,Savannah Sparrow (Belding's),Passerculus sandwichensis beldingi,1,No,Bare ground,,,,"WEST: Darwin, Beau, Eirik",-119.8773647,34.41996369,4c25bb25-abc2-4222-99e0-8d65f1588c36
18,8/14/2019,8:21,Gadwall,Mareca strepera,15,Yes,Water - Floating,,,9 juveniles ,"WEST: Darwin, Beau, Eirik",-119.8785698,34.42095141,199211c9-c4a5-4c12-aca6-84a6595b03a6
19,8/14/2019,8:22,Black Phoebe,Sayornis nigricans,1,No,Vegetation - Herbaceous,,,,"WEST: Darwin, Beau, Eirik",-119.8786399,34.42060018,09f04aa3-ed7f-4255-a2f0-8c81cee1cb26
20,8/14/2019,8:23,Mallard,Anas platyrhynchos,55,Yes,Water - Floating,,,,"WEST: Darwin, Beau, Eirik",-119.8784136,34.42094497,8d93cb32-6055-43a8-97fa-63bbd26a6a54
21,8/14/2019,8:23,Red-necked Phalarope,Phalaropus lobatus,1,Yes,Water - Wading,,,,"WEST: Darwin, Beau, Eirik",-119.8785112,34.42103842,eaa21a88-b8e2-41e0-a4b3-6db76eff7f46
22,8/14/2019,8:24,Killdeer,Charadrius vociferus,2,Yes,Bare ground,,,Changed repeat observation to Yes after post-survey review.,"WEST: Darwin, Beau, Eirik",-119.8787595,34.42079834,feb0f06d-2a58-4d82-a718-252d5f27640b
23,8/14/2019,8:25,Great Blue Heron,Ardea herodias,1,Yes,Water - Wading,,,,"WEST: Darwin, Beau, Eirik",-119.8786814,34.42099814,d319e35b-5054-46df-9de7-1738811e37f4
24,8/14/2019,8:25,Snowy Egret,Egretta thula,1,Yes,Water - Wading,,,,"WEST: Darwin, Beau, Eirik",-119.8785617,34.42069779,3bd2e230-79b2-4a98-ac9b-1eb902c08a93
25,8/14/2019,8:33,Savannah Sparrow (Belding's),Passerculus sandwichensis beldingi,4,No,Vegetation - Herbaceous,,,juvenile ,"WEST: Darwin, Beau, Eirik",-119.8785561,34.42046555,14f62989-39fe-429f-9e40-c921fd55fbfe
26,8/14/2019,8:36,Black Phoebe,Sayornis nigricans,1,No,Vegetation - Herbaceous,,,,"WEST: Darwin, Beau, Eirik",-119.8785012,34.42029079,1f974fe3-1e2d-452b-b9cf-af3ec20872c7
27,8/14/2019,8:40,Black Phoebe,Sayornis nigricans,2,No,Vegetation - Herbaceous,,,,"WEST: Darwin, Beau, Eirik",-119.8797982,34.4210884,26d22628-e136-4b41-8a4e-65723eb71ed9
28,8/14/2019,8:41,Song Sparrow,Melospiza melodia,1,No,Vegetation - Herbaceous,,,,"WEST: Darwin, Beau, Eirik",-119.8803748,34.42131469,e9ee98bf-d3bb-4534-a127-8d2366a4a894
