OBJECTID,Species,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
1,American Coot,16,No,Water - Floating,,,,6.4,Glenn Lisa steven,758,,50,0,,,,,,,,,,,,cc6fea82-614d-4e89-9e35-f56f68a3edcd,1/6/2021 3:57:08 PM,ccber_user,1/6/2021 3:57:08 PM,ccber_user,-119.8742578753,34.4178602914007
2,Least Sandpiper,1,No,Mud,,,,,,,,,,,,,,,,,,,,,f63d204a-7617-4852-a9d9-d6478440d55d,1/6/2021 3:58:13 PM,ccber_user,1/6/2021 3:58:13 PM,ccber_user,-119.87568098817,34.4194731594911
3,Ruddy Duck,3,No,Water - Floating,,,,,,,,,,,,,,,,,,,,,088550ab-df20-4732-aa9f-2d1e56ce0d59,1/6/2021 3:58:33 PM,ccber_user,1/6/2021 3:58:33 PM,ccber_user,-119.87545173272,34.4190413991029
4,Black Phoebe,1,No,Vegetation - Herbaceous,,,,,,,,,,,,,,,,,,,,,113e269f-6ce4-4efb-af0b-8128fc3d4b49,1/6/2021 3:59:04 PM,ccber_user,1/6/2021 3:59:04 PM,ccber_user,-119.874391967721,34.41848117808
5,Cooper's Hawk,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,878f4340-f844-410f-82f8-c10da2c3afc9,1/6/2021 4:00:36 PM,ccber_user,1/6/2021 4:00:36 PM,ccber_user,-119.873757193887,34.4200012596468
6,American Crow,35,No,Bare ground,,,,,,,,,,,,,,,,,,,,,95edbdd2-efc2-4198-bdb5-e975a03a4184,1/6/2021 4:02:01 PM,ccber_user,1/6/2021 4:02:01 PM,ccber_user,-119.875829142818,34.4190449672266
7,American Kestrel,1,No,Vegetation - Tree,M,,,,,,,,,,,,,,,,,,,,e8c9b4f9-e772-43d5-a042-644101979a27,1/6/2021 4:04:22 PM,ccber_user,1/6/2021 4:05:18 PM,ccber_user,-119.874008077176,34.4200440788527
8,American Crow,3,No,Air,,,,,,,,,,,,,,,,,,,,,973c45a1-0677-41f1-9974-0d951affa617,1/6/2021 4:06:44 PM,ccber_user,1/6/2021 4:06:44 PM,ccber_user,-119.875227887822,34.4199941234808
9,Mallard,1,No,Water - Floating,,,,,,,,,,,,,,,,,,,,,4926d4a7-9c15-487a-bd93-1a85361b555c,1/6/2021 4:08:01 PM,ccber_user,1/6/2021 4:08:01 PM,ccber_user,-119.875439840822,34.4188308706426
10,American Coot,3,No,Water - Floating,,,,,,,,,,,,,,,,,,,,,a5da90a3-0916-4c6b-af74-20af18ec1229,1/6/2021 4:08:14 PM,ccber_user,1/6/2021 4:08:14 PM,ccber_user,-119.875547980914,34.4189593292516
11,American Wigeon,3,No,Water - Floating,,,,,,,,,,,,,,,,,,,,,6d238d03-ac8e-4bbe-83a7-d60ad20d84af,1/6/2021 4:08:43 PM,ccber_user,1/6/2021 4:08:43 PM,ccber_user,-119.875540688391,34.4190592404609
12,Black Phoebe,1,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,33c8ee5a-fe2c-45c3-bdac-e482486aed49,1/6/2021 4:08:57 PM,ccber_user,1/6/2021 4:08:57 PM,ccber_user,-119.874450954696,34.4187913640301
13,Cooper's Hawk,1,Yes,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,ec078172-fd74-4a49-a2ab-240619095fad,1/6/2021 4:09:22 PM,ccber_user,1/6/2021 4:09:22 PM,ccber_user,-119.876419089822,34.4178386266893
14,Ring-billed Gull,1,No,Mud,,,,,,,,,,,,,,,,,,,,,66dd23e8-26d7-496d-abec-3b0496c33be3,1/6/2021 4:09:56 PM,ccber_user,1/6/2021 4:09:56 PM,ccber_user,-119.875458813241,34.4194086756882
15,Ruddy Duck,1,No,Water - Floating,,,,,,,,,,,,,,,,,,,,,45bf5d8c-6400-4233-bdc6-7fd897f7f2b7,1/6/2021 4:10:13 PM,ccber_user,1/6/2021 4:10:13 PM,ccber_user,-119.875545324596,34.4195799521122
16,Mallard,8,No,Air,,,,,,,,,,,,,,,,,,,,,87a6ef66-c11c-4bf5-b423-3dda2b2bad61,1/6/2021 4:10:56 PM,ccber_user,1/6/2021 4:10:56 PM,ccber_user,-119.875895695404,34.4192445358849
17,Killdeer,5,No,Bare ground,,,,,,,,,,,,,,,,,,,,,9d57b334-135b-418c-9283-ab5e81c5cda9,1/6/2021 4:13:02 PM,ccber_user,1/6/2021 4:13:02 PM,ccber_user,-119.875298766695,34.4192302626822
18,Killdeer,5,No,Bare ground,,,,,,,,,,,,,,,,,,,,,e4b2b92f-67ce-4e78-b0a7-b5f161e49072,1/6/2021 4:13:18 PM,ccber_user,1/6/2021 4:13:18 PM,ccber_user,-119.875393929724,34.4194907458395
19,Killdeer,15,No,Bare ground,,,,,,,,,,,,,,,,,,,,,953c841f-05dc-4689-9afb-dc0fd6e644f4,1/6/2021 4:13:59 PM,ccber_user,1/6/2021 4:13:59 PM,ccber_user,-119.875428533727,34.4196834314174
