OBJECTID,Species,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,CreationDate,Creator,EditDate,Editor,POINT_X,POINT_Y,x,y
1,Peregrine Falcon,2,No,,,,took out a black necked stilt,5.5,Lisa Linus beau,733,,58,50,,,,,,,,,,,,21991654-70c9-4190-bc47-d27d7e5dae42,11/19/2021 3:31:10 PM,ccber_user,11/19/2021 6:39:39 PM,CCBER-Admin,-119.874935289,34.4162755560001,-119.874935289466,34.4162755564906
2,Mallard,8,No,Water - Floating,,,,,,,,,,,,,,,,,,,,,8e967725-08cc-459d-a7b4-9112c6a9f8cb,11/19/2021 3:32:15 PM,ccber_user,11/19/2021 6:39:40 PM,CCBER-Admin,-119.874216549,34.4178277400001,-119.874216549204,34.417827739864
3,American Coot,3,No,Water - Floating,,,,,,,,,,,,,,,,,,,,,e839aac0-99f1-4d93-9150-06a9c991dda2,11/19/2021 3:32:31 PM,ccber_user,11/19/2021 6:39:40 PM,CCBER-Admin,-119.874403935,34.417903972,-119.874403935077,34.417903972066
4,Double-crested Cormorant,1,No,Mud,,,,,,,,,,,,,,,,,,,,,3b9c96e0-8c6b-438b-92a2-7abb52a6d35a,11/19/2021 3:32:56 PM,ccber_user,11/19/2021 6:39:40 PM,CCBER-Admin,-119.874447573,34.41800985,-119.874447572539,34.4180098500091
5,Belted Kingfisher,1,No,Fence,,,,,,,,,,,,,,,,,,,,,62a8d19f-2dc5-4401-9edd-64876b368835,11/19/2021 3:33:17 PM,ccber_user,11/19/2021 6:39:41 PM,CCBER-Admin,-119.874026597,34.41755034,-119.874026596844,34.417550339876
6,Killdeer,8,No,Mud,,,,,,,,,,,,,,,,,,,,,4d50ff4f-95c0-45be-9a83-8146d2fe978d,11/19/2021 3:33:52 PM,ccber_user,11/19/2021 6:39:41 PM,CCBER-Admin,-119.874189,34.417562133,-119.874188999671,34.4175621330494
7,Redhead,8,No,Water - Floating,,,,,,,,,,,,,,,,,,,,,1a2b566c-07dc-431e-bc6b-816e6a30d363,11/19/2021 3:34:53 PM,ccber_user,11/19/2021 6:39:41 PM,CCBER-Admin,-119.875649929,34.419410805,-119.875649928919,34.4194108054374
8,Anna's Hummingbird,1,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,51e0893b-8f4a-4881-a07d-bdd2305ade9f,11/19/2021 3:37:07 PM,ccber_user,11/19/2021 6:39:42 PM,CCBER-Admin,-119.873855645,34.418385921,-119.87385564475,34.418385921451
9,Yellow-rumped Warbler,3,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,bde4efcc-2358-4551-bfeb-d6cfb5d24ebf,11/19/2021 3:37:45 PM,ccber_user,11/19/2021 6:39:42 PM,CCBER-Admin,-119.873667089,34.418757455,-119.873667089271,34.4187574552598
10,White-crowned Sparrow,2,No,Bare ground,,,,,,,,,,,,,,,,,,,,,1a50011b-553c-495f-a3e1-9b9623138a66,11/19/2021 3:38:24 PM,ccber_user,11/19/2021 6:39:42 PM,CCBER-Admin,-119.873459168,34.418160309,-119.87345916791,34.4181603087273
