OBJECTID,Species,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,CreationDate,Creator,EditDate,Editor,x,y
1,Gadwall,2,No,Water - Floating,,,,6,Lisa beau connor,731,,41,0,,,,,,,,,,,,a70df7ac-86cd-425b-9710-6b4401914768,,,,,,,,,,,,,,,,2/24/2022 3:31:45 PM,ccber_user,2/24/2022 3:31:45 PM,ccber_user,-119.875197051354,34.4187536722205
2,American Wigeon,2,No,Water - Floating,,,,,,,,,,,,,,,,,,,,,bae77704-9c04-4986-847c-2d1ec332687d,,,,,,,,,,,,,,,,2/24/2022 3:33:24 PM,ccber_user,2/24/2022 3:33:24 PM,ccber_user,-119.874783662829,34.4185613972636
3,Northern Shoveler,2,No,,,,,,,,,,,,,,,,,,,,,,92dfcf8d-0519-4f76-9f57-c70d442db85e,,,,,,,,,,,,,,,,2/24/2022 3:33:51 PM,ccber_user,2/24/2022 3:33:51 PM,ccber_user,-119.874550582353,34.4185142347571
4,White-crowned Sparrow,5,No,Bare ground,,,,,,,,,,,,,,,,,,,,,bb188ceb-f818-4634-95d1-a612a0d7b650,,,,,,,,,,,,,,,,2/24/2022 3:34:23 PM,ccber_user,2/24/2022 3:34:23 PM,ccber_user,-119.873749166541,34.4176030082321
5,Anna's Hummingbird,1,No,Fence,,,,,,,,,,,,,,,,,,,,,f0e5b8aa-653d-4a7e-a6d6-034d64fc2d43,,,,,,,,,,,,,,,,2/24/2022 3:34:48 PM,ccber_user,2/24/2022 3:34:48 PM,ccber_user,-119.87341493756,34.4176338450532
6,White-crowned Sparrow,8,No,Bare ground,,,,,,,,,,,,,,,,,,,,,1922f0b6-f267-48f3-b128-dba5006b8fe9,,,,,,,,,,,,,,,,2/24/2022 3:35:12 PM,ccber_user,2/24/2022 3:35:12 PM,ccber_user,-119.873445721927,34.4177517506584
7,California Towhee,1,No,Bare ground,,,,,,,,,,,,,,,,,,,,,a2d355fa-475f-4729-b87f-4e04006d4501,,,,,,,,,,,,,,,,2/24/2022 3:35:29 PM,ccber_user,2/24/2022 3:35:29 PM,ccber_user,-119.873586449304,34.4178841681516
8,Common Yellowthroat,1,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,76c4a298-ec1d-465b-a773-7763806df1d4,,,,,,,,,,,,,,,,2/24/2022 3:35:51 PM,ccber_user,2/24/2022 3:35:51 PM,ccber_user,-119.873392948599,34.4181000256752
9,Song Sparrow,1,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,157a5042-2e6c-418d-acda-0a42ef08abd9,,,,,,,,,,,,,,,,2/24/2022 3:36:12 PM,ccber_user,2/24/2022 3:36:12 PM,ccber_user,-119.873595244709,34.4181526292137
10,Greater White-fronted Goose,1,No,Air,,,,,,,,,,,,,,,,,,,,,0cb6b842-1b91-40f6-9b95-d1d65f0e8acd,,,,,,,,,,,,,,,,2/24/2022 3:36:27 PM,ccber_user,2/24/2022 3:36:27 PM,ccber_user,-119.873685398733,34.4180238403382
11,Great Egret,1,No,Water - Wading,,,,,,,,,,,,,,,,,,,,,542ae690-1f9a-4871-8d68-2fdcaf4fc7ae,,,,,,,,,,,,,,,,2/24/2022 3:37:32 PM,ccber_user,2/24/2022 3:37:32 PM,ccber_user,-119.875042103645,34.4185480643339
12,Snowy Egret,1,No,Bare ground,,,,,,,,,,,,,,,,,,,,,4f3813a6-156e-42d9-a2ce-66c8554c1a9b,,,,,,,,,,,,,,,,2/24/2022 3:37:47 PM,ccber_user,2/24/2022 3:37:47 PM,ccber_user,-119.874844204788,34.4186460159657
13,Northern Shoveler,2,No,Bare ground,,,,,,,,,,,,,,,,,,,,,0d39f065-3a69-4c65-94f4-480461effdf4,,,,,,,,,,,,,,,,2/24/2022 3:39:11 PM,ccber_user,2/24/2022 3:39:11 PM,ccber_user,-119.875497270118,34.4189489398128
14,Western Gull,2,No,Bare ground,,,,,,,,,,,,,,,,,,,,,4199835f-de5b-4894-9a48-1a773e579f61,,,,,,,,,,,,,,,,2/24/2022 3:39:55 PM,ccber_user,2/24/2022 3:39:55 PM,ccber_user,-119.875341150108,34.4193824628724
15,Gadwall,2,No,Water - Floating,,,,,,,,,,,,,,,,,,,,,fa6a6f34-6076-4c0a-955f-ac9e7290a77f,,,,,,,,,,,,,,,,2/24/2022 3:40:23 PM,ccber_user,2/24/2022 3:40:23 PM,ccber_user,-119.875294974008,34.4189090338332
16,Black-necked Stilt,1,No,Water - Wading,,,,,,,,,,,,,,,,,,,,,1c2d1ce8-c3be-4a95-a6c1-2e942b5e9775,,,,,,,,,,,,,,,,2/24/2022 3:41:39 PM,ccber_user,2/24/2022 3:41:39 PM,ccber_user,-119.875648991976,34.4191992589745
