OBJECTID,Species,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,CreationDate,Creator,EditDate,Editor,x,y
2,Brown Pelican,1,No,Mud,,,,,,,,,,,,,,,,,,,,,63c2f82d-3c85-4a96-83f1-52d5265cb32b,,,,,,,,,,,,,,,,5/16/22 13:54,ccber_user,5/16/22 13:54,ccber_user,-119.8745846,34.41796921
3,Black-necked Stilt,4,No,Mud,,,,,,,,,,,,,,,,,,,,,da7c9a94-a412-45c3-b16a-9f581cc7ca68,,,,,,,,,,,,,,,,5/16/22 13:55,ccber_user,5/16/22 13:56,ccber_user,-119.8746089,34.41808788
4,Cliff Swallow,5,No,Air,,,,,,,,,,,,,,,,,,,,,691317c7-24f6-49eb-89a4-8fe3689f549b,,,,,,,,,,,,,,,,5/16/22 13:55,ccber_user,5/16/22 13:55,ccber_user,-119.8742912,34.41781929
5,Mallard,2,No,Water - Floating,,,,,,,,,,,,,,,,,,,,,2d8876cc-8f60-4044-9685-8381da57f16c,,,,,,,,,,,,,,,,5/16/22 13:57,ccber_user,5/16/22 13:57,ccber_user,-119.8742436,34.41801892
6,Brown Pelican,2,No,Mud,,,,,,,,,,,,,,,,,,,,,013edd4f-e388-4291-838a-453e85eff2bd,,,,,,,,,,,,,,,,5/16/22 13:58,ccber_user,5/16/22 13:58,ccber_user,-119.8753871,34.41889021
7,California Towhee,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,9b8df3ea-ff50-4365-8cf4-fc3fb6bb0a8c,,,,,,,,,,,,,,,,5/16/22 14:07,ccber_user,5/16/22 14:07,ccber_user,-119.8764909,34.41781794
8,Song Sparrow,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,a185d165-e436-4cc9-b9bc-d7ac94b540d2,,,,,Samsung SM-T713,5.17,4.23,34.41778273,-119.876509,-27.7,1.4,1.1,0.9,1,,5/16/22 14:10,ccber_user,5/16/22 14:10,ccber_user,-119.876509,34.41778273
9,Anna's Hummingbird,2,No,Air,,,,,,,,,,,,,,,,,,,,,64ef0d6b-5d48-46c0-9d6a-98ab26c7294f,,,,,,,,,,,,,,,,5/16/22 14:11,ccber_user,5/16/22 14:11,ccber_user,-119.876352,34.41766589
10,Yellow Warbler,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,44c60ee7-f34e-4e1f-9bc3-13024c67f383,,,,,,,,,,,,,,,,5/16/22 14:12,ccber_user,5/16/22 14:12,ccber_user,-119.8762975,34.41784206
11,Cliff Swallow,3,No,Air,,,,,,,,,,,,,,,,,,,,,1905b603-7e12-4310-866d-3ce892d4f1d5,,,,,,,,,,,,,,,,5/16/22 14:13,ccber_user,5/16/22 14:13,ccber_user,-119.8764675,34.41793798
