OBJECTID,Species,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,CreationDate,Creator,EditDate,Editor,Station ID,Number of Satellites,Fix Time,Average Horizontal Accuracy (m),Average Vertical Accuracy (m),Averaged Positions,Standard Deviation (m),x,y
1,Black Phoebe,1,No,Fence,,,,,"Connor, Darwin, Johnny",,,,,,,,,,,,,,,,3b72f733-af8a-4514-adaa-a91272d60e7a,,,,,,,,,,,,,,,,8/23/2022 2:26:27 PM,CCBER-Admin,8/23/2022 2:26:27 PM,CCBER-Admin,,,,,,,,-119.874727055492,34.4175370542127
2,Black Phoebe,1,No,Vegetation - Herbaceous,,,,,,,,,,,,,,,,,,,,,cbfda0d0-69bb-4cc6-be18-0f7a34da49ff,,,,,,,,,,,,,,,,8/23/2022 2:36:31 PM,CCBER-Admin,8/23/2022 2:36:31 PM,CCBER-Admin,,,,,,,,-119.877563826463,34.4192428381587
3,Cliff Swallow,7,No,Air,,,,,,,,,,,,,,,,,,,,,11fcb629-bd26-4b4a-9cc1-b8cf5b5a70c2,,,,,,,,,,,,,,,,8/23/2022 2:37:23 PM,CCBER-Admin,8/23/2022 2:37:23 PM,CCBER-Admin,,,,,,,,-119.875693062426,34.4177600393558
4,Song Sparrow,1,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,ab820e33-8edf-4ab4-9d72-d43504d137c1,,,,,,,,,,,,,,,,8/23/2022 2:39:44 PM,CCBER-Admin,8/23/2022 2:39:44 PM,CCBER-Admin,,,,,,,,-119.875042984892,34.4177926242663
5,Anna's Hummingbird,2,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,7062487f-069b-45de-9c3d-322d81f868ce,,,,,,,,,,,,,,,,8/23/2022 2:41:40 PM,CCBER-Admin,8/23/2022 2:46:46 PM,CCBER-Admin,,,,,,,,-119.876304038092,34.4179163728534
6,American Crow,1,No,Air,,,,,,,,,,,,,,,,,,,,,d6f15a69-46b3-4ef9-9dd4-8e533f1fb63b,,,,,,,,,,,,,,,,8/23/2022 2:46:20 PM,CCBER-Admin,8/23/2022 2:46:20 PM,CCBER-Admin,,,,,,,,-119.877932887619,34.4176733944526
7,Song Sparrow,3,No,Vegetation - Herbaceous,,,,,,,,,,,,,,,,,,,,,a8c3a591-6c8f-410c-a74d-d4b457c7530c,,,,,,,,,,,,,,,,8/23/2022 2:50:10 PM,CCBER-Admin,8/23/2022 2:50:10 PM,CCBER-Admin,,,,,,,,-119.876458986698,34.4183096533769
8,Mourning Dove,7,No,Other,,,telephone line,,,,,,,,,,,,,,,,,,119173b7-bc18-4c96-94ab-7e5d52e085e1,,,,,,,,,,,,,,,,8/23/2022 3:00:22 PM,CCBER-Admin,8/23/2022 3:00:22 PM,CCBER-Admin,,,,,,,,-119.881957283498,34.4176442457711
9,Mourning Dove,1,No,Fence,,,,,,,,,,,,,,,,,,,,,39305f6e-8b66-4262-8951-f40f38c03597,,,,,,,,,,,,,,,,8/23/2022 3:02:31 PM,CCBER-Admin,8/23/2022 3:02:31 PM,CCBER-Admin,,,,,,,,-119.881549282171,34.4181177457016
10,Black Phoebe,1,No,Fence,,,,,,,,,,,,,,,,,,,,,c862cdd2-6410-4698-9b88-542ab506cdce,,,,,,,,,,,,,,,,8/23/2022 3:06:47 PM,CCBER-Admin,8/23/2022 3:06:47 PM,CCBER-Admin,,,,,,,,-119.881779010135,34.4188766420294
11,Anna's Hummingbird,1,No,Fence,,,,,,,,,,,,,,,,,,,,,c6c87c54-7260-49dd-8811-6ada495c411a,,,,,,,,,,,,,,,,8/23/2022 3:09:56 PM,CCBER-Admin,8/23/2022 3:09:56 PM,CCBER-Admin,,,,,,,,-119.880808075043,34.4199459465639
12,Bewick's Wren,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,3d269c83-a79d-49f1-967e-5ce99a40ac44,,,,,,,,,,,,,,,,8/23/2022 3:11:00 PM,CCBER-Admin,8/23/2022 3:11:00 PM,CCBER-Admin,,,,,,,,-119.880997963623,34.4186537991805
13,Common Yellowthroat,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,172be572-cafb-4b8a-82dd-f62f19c2a8e1,,,,,,,,,,,,,,,,8/23/2022 3:13:07 PM,CCBER-Admin,8/23/2022 3:13:07 PM,CCBER-Admin,,,,,,,,-119.87992309525,34.4199211270635
