OBJECTID,Species,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,CreationDate,Creator,EditDate,Editor,Station ID,Number of Satellites,Fix Time,Average Horizontal Accuracy (m),Average Vertical Accuracy (m),Averaged Positions,Standard Deviation (m),x,y
1,White-crowned Sparrow,1,No,Vegetation - Shrub,,,,4,"Jeremy Cowan lisa,Steven Ortega, Johnny, Alex castelein",745,,55,0,,None,,,,,,,,,,5d503574-843e-477b-941c-ce932ec37ea4,,,,,,,,,,,,,,,,10/28/2022 2:46:16 PM,CCBER-Admin,10/28/2022 2:46:16 PM,CCBER-Admin,,,,,,,,-119.873682907704,34.417971101847
2,Wrentit,1,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,7ea63683-c83f-4548-a123-6c44c59c6782,,,,,,,,,,,,,,,,10/28/2022 2:49:29 PM,CCBER-Admin,10/28/2022 2:49:29 PM,CCBER-Admin,,,,,,,,-119.874198759866,34.4186003682075
3,Anna's Hummingbird,1,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,278f7b41-b03b-40a9-bd13-dc14bc0cef01,,,,,,,,,,,,,,,,10/28/2022 2:50:19 PM,CCBER-Admin,10/28/2022 2:50:19 PM,CCBER-Admin,,,,,,,,-119.875680990865,34.4173973122946
4,California Towhee,1,No,,,,,,,,,,,,,,,,,,,,,,8d741a42-3b97-4692-bdc2-5a79e73eb8a6,,,,,,,,,,,,,,,,10/28/2022 2:50:39 PM,CCBER-Admin,10/28/2022 2:50:39 PM,CCBER-Admin,,,,,,,,-119.875905513092,34.4175449346092
5,Bewick's Wren,1,No,,,,,,,,,,,,,,,,,,,,,,d0d3aa81-8731-47a1-8efd-d038d9cf6c7d,,,,,,,,,,,,,,,,10/28/2022 2:50:54 PM,CCBER-Admin,10/28/2022 2:50:54 PM,CCBER-Admin,,,,,,,,-119.875997282287,34.4176462881208
6,Cooper's Hawk,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,0950d297-65ec-4f49-90e6-886908d1cc0e,,,,,,,,,,,,,,,,10/28/2022 2:52:03 PM,CCBER-Admin,10/28/2022 2:52:03 PM,CCBER-Admin,,,,,,,,-119.876509105505,34.4178153635183
7,Anna's Hummingbird,1,No,Air,,,,,,,,,,,,,,,,,,,,,10ed1095-b86f-4d81-8b96-9ed0063dd24d,,,,,,,,,,,,,,,,10/28/2022 2:52:27 PM,CCBER-Admin,10/28/2022 2:52:27 PM,CCBER-Admin,,,,,,,,-119.876179325879,34.4176948294797
8,Northern Flicker,1,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,643be8fa-e6d6-457c-8c9c-fb2a4dafa307,,,,,,,,,,,,,,,,10/28/2022 2:52:45 PM,CCBER-Admin,10/28/2022 2:52:45 PM,CCBER-Admin,,,,,,,,-119.876627244744,34.4176033254042
9,Yellow-rumped Warbler,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,e4c799b3-3729-4531-86e6-c643e5b354a7,,,,,,,,,,,,,,,,10/28/2022 2:56:34 PM,CCBER-Admin,10/28/2022 2:56:34 PM,CCBER-Admin,,,,,,,,-119.876371198837,34.4176987244662
10,Spotted Towhee,1,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,a7618648-c3e1-4526-b3c8-44cf33869cb4,,,,,,,,,,,,,,,,10/28/2022 2:57:07 PM,CCBER-Admin,10/28/2022 2:57:07 PM,CCBER-Admin,,,,,,,,-119.876706034181,34.4177131579982
