OBJECTID,Species,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,CreationDate,Creator,EditDate,Editor,Station ID,Number of Satellites,Fix Time,Average Horizontal Accuracy (m),Average Vertical Accuracy (m),Averaged Positions,Standard Deviation (m),x,y
1,Cliff Swallow,30,No,Flyover,,,,4.9,"Steven Ortega, Oliver Fahrner",700,,60,100,Medium,,,,,,,,,,,929f1438-0ada-4d66-9dac-341ce732bc6c,,,,,Samsung SM-T713,3.29,3.76,34.4175687,-119.874130133333,-25.1,1.1,0.7,0.8,1,,7/15/2022 2:06:31 PM,ccber_user,7/15/2022 2:06:31 PM,ccber_user,,13,7/15/2022 2:04:14 PM,,,,,-119.87413013307,34.4175687002916
2,Anna's Hummingbird,2,No,Flyover,,,,,,,,,,,,,,,,,,,,,aa5ca90f-5fe1-4948-a46f-765db8ae891e,,,,,,,,,,,,,,,,7/15/2022 2:06:51 PM,ccber_user,7/15/2022 2:06:51 PM,ccber_user,,,,,,,,-119.874113433389,34.4179401095292
3,Mallard,1,No,Water - Wading,,,,,,,,,,,,,,,,,,,,,0e271a22-f1a4-4895-bb06-bbfd0803282b,,,,,,,,,,,,,,,,7/15/2022 2:07:31 PM,ccber_user,7/15/2022 2:07:31 PM,ccber_user,,,,,,,,-119.874706285544,34.4182295554839
4,California Towhee,1,Yes,Bare ground,,,,,,,,,,,,,,,,,,,,,e364b906-0e38-4bc6-8d6a-6224ebf9c15a,,,,,Samsung SM-T713,3.76,3.76,34.4175579833333,-119.87445265,-26.8,1.1,0.8,0.8,1,,7/15/2022 2:07:48 PM,ccber_user,7/15/2022 2:07:48 PM,ccber_user,,12,7/15/2022 2:07:32 PM,,,,,-119.874452649817,34.4175579831331
5,California Towhee,1,No,Bare ground,,,,,,,,,,,,,,,,,,,,,4cfefc0d-ee90-4d11-bbc2-5e156d93d691,,,,,,,,,,,,,,,,7/15/2022 2:09:22 PM,ccber_user,7/15/2022 2:09:22 PM,ccber_user,,,,,,,,-119.875245440005,34.4174678706135
6,Anna's Hummingbird,1,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,719ada01-21f9-4f7b-9a6d-7e501c4bd922,,,,,,,,,,,,,,,,7/15/2022 2:10:44 PM,ccber_user,7/15/2022 2:10:44 PM,ccber_user,,,,,,,,-119.875620683367,34.4176226476988
7,California Towhee,1,No,Bare ground,,,,,,,,,,,,,,,,,,,,,fd6b7eeb-a9d3-416b-a43f-61dccd5dd449,,,,,Samsung SM-T713,4.7,9.4,34.4177482,-119.8765854,-77.8,2.2,1,2,1,,7/15/2022 2:14:54 PM,ccber_user,7/15/2022 2:14:54 PM,ccber_user,,10,7/15/2022 2:14:37 PM,,,,,-119.87658540032,34.4177482002649
8,Song Sparrow,1,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,f2652e26-8589-4322-8a17-d2b5245f394e,,,,,,,,,,,,,,,,7/15/2022 2:18:14 PM,ccber_user,7/15/2022 2:18:14 PM,ccber_user,,,,,,,,-119.876557842702,34.4183666660272
9,Cassin's Kingbird,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,3a6ddc82-87d4-415e-b9fd-602c7a23a537,,,,,,,,,,,,,,,,7/15/2022 2:26:35 PM,ccber_user,7/15/2022 2:26:35 PM,ccber_user,,,,,,,,-119.880589332577,34.4182957097818
10,Lark Sparrow,1,No,Fence,,,,,,,,,,,,,,,,,,,,,407a806b-9a51-4924-bc67-ac2dde90e624,,,,,,,,,,,,,,,,7/15/2022 2:27:36 PM,ccber_user,7/15/2022 2:27:36 PM,ccber_user,,,,,,,,-119.879586794753,34.4187168199994
11,Lark Sparrow,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,7ae2b88a-e126-4dfd-95eb-1187d52947e6,,,,,,,,,,,,,,,,7/15/2022 2:28:41 PM,ccber_user,7/15/2022 2:28:41 PM,ccber_user,,,,,,,,-119.87542252849,34.417309762924
12,Lark Sparrow,1,No,Vegetation - Herbaceous,,,,,,,,,,,,,,,,,,,,,75e631e3-0f83-4458-bd9b-c6e4b0c9f41c,,,,,,,,,,,,,,,,7/15/2022 2:33:38 PM,ccber_user,7/15/2022 2:33:38 PM,ccber_user,,,,,,,,-119.879933740286,34.4191763541054
13,House Finch,2,No,Flyover,,,,,,,,,,,,,,,,,,,,,c68c56de-add3-4c4c-9eaf-3b5402de0722,,,,,Samsung SM-T713,3.76,3.29,34.4192215,-119.88064965,-22.3,1.1,0.8,0.7,1,,7/15/2022 2:35:23 PM,ccber_user,7/15/2022 2:35:23 PM,ccber_user,,14,7/15/2022 2:35:09 PM,,,,,-119.880649649957,34.4192214998639
14,Anna's Hummingbird,1,No,Air,,,,,,,,,,,,,,,,,,,,,357c79b8-5852-45f6-8b1d-94af255b9306,,,,,Samsung SM-T713,3.29,3.29,34.4197185333333,-119.881344933333,-18.8,1,0.7,0.7,1,,7/15/2022 2:39:41 PM,ccber_user,7/15/2022 2:39:41 PM,ccber_user,,15,7/15/2022 2:38:58 PM,,,,,-119.88134493341,34.4197185336234
15,Cassin's Kingbird,1,No,Bare ground,,,,,,,,,,,,,,,,,,,,,68558623-bdb7-4618-a3bd-d9dc3af03bfc,,,,,,,,,,,,,,,,7/15/2022 2:40:18 PM,ccber_user,7/15/2022 2:40:18 PM,ccber_user,,,,,,,,-119.881583177403,34.419817618411
16,Mourning Dove,1,No,Flyover,,,,,,,,,,,,,,,,,,,,,c483fa03-365b-45ca-a86b-ee6832140c6e,,,,,,,,,,,,,,,,7/15/2022 2:42:37 PM,ccber_user,7/15/2022 2:42:37 PM,ccber_user,,,,,,,,-119.880060944425,34.419414293513
17,Great Blue Heron,1,No,Flyover,,,,,,,,,,,,,,,,,,,,,09410a19-e722-43d3-b50a-28c8c1f0e4a5,,,,,,,,,,,,,,,,7/15/2022 2:43:10 PM,ccber_user,7/15/2022 2:43:10 PM,ccber_user,,,,,,,,-119.877897596405,34.4193337757671
18,Lark Sparrow,1,No,Fence,,,,,,,,,,,,,,,,,,,,,7d46a85d-0164-4391-8675-bec465910c24,,,,,,,,,,,,,,,,7/15/2022 2:44:13 PM,ccber_user,7/15/2022 2:44:13 PM,ccber_user,,,,,,,,-119.879692186899,34.419812726829
19,Lark Sparrow,4,No,Bare ground,,,,,,,,,,,,,,,,,,,,,06ca45a8-8053-47dd-9223-a867e99ef7ee,,,,,,,,,,,,,,,,7/15/2022 2:45:19 PM,ccber_user,7/15/2022 2:45:19 PM,ccber_user,,,,,,,,-119.878860885037,34.4196313060704
20,Rufous/Allen's Hummingbird,1,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,68c823e1-2ea7-40a2-894d-7420f17ad539,,,,,,,,,,,,,,,,7/15/2022 2:47:48 PM,ccber_user,7/15/2022 2:47:48 PM,ccber_user,,,,,,,,-119.8786937418,34.4194426286568
