OBJECTID,Species,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,CreationDate,Creator,EditDate,Editor,Station ID,Number of Satellites,Fix Time,Average Horizontal Accuracy (m),Average Vertical Accuracy (m),Averaged Positions,Standard Deviation (m),x,y
1,Canada Goose,2,No,Bare ground,,,,,"Mark, Darwin, Ethan ",,,,,,,,,,,,,,,,37d5d81b-6326-444f-a0b9-7da5c5a06e47,,,,,,,,,,,,,,,,3/23/2023 2:47:09 PM,ccber_user,3/23/2023 5:27:18 PM,ccber_user,,,,,,,,-119.875061255727,34.4177158961969
2,Northern Rough-winged Swallow,3,No,Flyover,,,,,,,,,,,,,,,,,,,,,ac6d30cb-3ec3-492b-9ece-078030d0b51f,,,,,,,,,,,,,,,,3/23/2023 2:48:55 PM,ccber_user,3/23/2023 2:48:55 PM,ccber_user,,,,,,,,-119.875391982177,34.4177474251215
3,American Pipit,3,No,Habitat Feature - Log,,,,,,,,,,,,,,,,,,,,,3b970026-928b-4006-b9f4-26622e1f51c1,,,,,,,,,,,,,,,,3/23/2023 2:50:25 PM,ccber_user,3/23/2023 2:50:25 PM,ccber_user,,,,,,,,-119.875296713146,34.4181981675408
4,Killdeer,2,No,Bare ground,,,,,,,,,,,,,,,,,,,,,9aa6d003-0dda-483e-a53b-fe464654eb2b,,,,,,,,,,,,,,,,3/23/2023 2:50:37 PM,ccber_user,3/23/2023 2:50:37 PM,ccber_user,,,,,,,,-119.8752621855,34.4176457189899
5,Common Yellowthroat,1,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,ff0d2f17-08ef-4697-aab7-72ce247078d4,,,,,Samsung SM-T713,3.29,3.29,34.4175668,-119.87499,-18.1,1,0.7,0.7,1,,3/23/2023 2:51:29 PM,ccber_user,3/23/2023 2:51:29 PM,ccber_user,,15,3/23/2023 2:50:54 PM,,,,,-119.874989999562,34.417566800223
6,Red-winged Blackbird,1,No,Flyover,,,,,,,,,,,,,,,,,,,,,3aa0e0a7-d08d-4725-b152-4c1c7b7bd9bc,,,,,,,,,,,,,,,,3/23/2023 2:51:47 PM,ccber_user,3/23/2023 2:51:47 PM,ccber_user,,,,,,,,-119.87538212137,34.4176080288871
7,Anna's Hummingbird,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,03c8e483-e55f-463e-9e98-94934235fbff,,,,,,,,,,,,,,,,3/23/2023 2:52:44 PM,ccber_user,3/23/2023 2:52:44 PM,ccber_user,,,,,,,,-119.876224502155,34.4176106077622
8,Bewick's Wren,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,c661c644-9fa2-4c11-98c4-6ccbe550577d,,,,,,,,,,,,,,,,3/23/2023 2:56:59 PM,ccber_user,3/23/2023 2:56:59 PM,ccber_user,,,,,,,,-119.87667053366,34.4175790120909
9,Anna's Hummingbird,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,5468454d-cb95-48c3-9acd-20c0b85ecc5b,,,,,,,,,,,,,,,,3/23/2023 2:57:09 PM,ccber_user,3/23/2023 2:57:09 PM,ccber_user,,,,,,,,-119.876684432394,34.4177922678191
10,Black Phoebe,1,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,5ccd3bb6-75ef-4642-84df-11a195fa12ec,,,,,,,,,,,,,,,,3/23/2023 3:06:04 PM,ccber_user,3/23/2023 3:06:04 PM,ccber_user,,,,,,,,-119.878568722364,34.4189898454415
