OBJECTID,Species,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,CreationDate,Creator,EditDate,Editor,Station ID,Number of Satellites,Fix Time,Average Horizontal Accuracy (m),Average Vertical Accuracy (m),Averaged Positions,Standard Deviation (m),x,y
1,Great Egret,1,No,Water - Wading,,,,,"Lisa, Mark, Jeremiah ",,,,,,,,,,,,,,,,258b7b1d-3ba8-4688-9455-b2fba6c895ac,,,,,,,,,,,,,,,,10/19/2023 3:02:33 PM,ccber_user,10/19/2023 3:02:33 PM,ccber_user,,,,,,,,-119.874372193107,34.4179159630509
2,Least Sandpiper,4,No,Bare ground,,,,,,,,,,,,,,,,,,,,,daf72743-8192-41f2-9d79-1abed7c6bf9c,,,,,,,,,,,,,,,,10/19/2023 3:03:24 PM,ccber_user,10/19/2023 3:03:24 PM,ccber_user,,,,,,,,-119.874553966306,34.4185157679855
3,California Thrasher,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,1c6f0e88-60c7-4c04-b5c3-387a886cacf7,,,,,,,,,,,,,,,,10/19/2023 3:09:54 PM,ccber_user,10/19/2023 3:09:54 PM,ccber_user,,,,,,,,-119.87547205351,34.4172763797048
4,Song Sparrow,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,b7e69600-b6f1-47ed-b4e1-7622744a55e6,,,,,,,,,,,,,,,,10/19/2023 3:20:56 PM,ccber_user,10/19/2023 3:20:56 PM,ccber_user,,,,,,,,-119.876482985191,34.4183675026719
5,Song Sparrow,1,No,Vegetation - Shrub,,,,,,,,,,,,,,,,,,,,,51073a55-a6b1-415b-a31b-cd02b9ea3d7e,,,,,,,,,,,,,,,,10/19/2023 3:23:02 PM,ccber_user,10/19/2023 3:23:56 PM,ccber_user,,,,,,,,-119.876523066222,34.4184997591236
6,Say's Phoebe,1,No,Bare ground,,,,,,,,,,,,,,,,,,,,,c0a89ec6-4ba5-400a-9842-d1db06595aac,,,,,,,,,,,,,,,,10/19/2023 3:26:50 PM,ccber_user,10/19/2023 3:26:50 PM,ccber_user,,,,,,,,-119.877617808025,34.4184220142429
7,Savannah Sparrow,4,No,Fence,,,,,,,,,,,,,,,,,,,,,bf07a6a6-5774-464d-81a4-15ac86a5d445,,,,,,,,,,,,,,,,10/19/2023 3:29:00 PM,ccber_user,10/19/2023 3:29:00 PM,ccber_user,,,,,,,,-119.878451339506,34.4184593075179
8,Killdeer,7,No,Bare ground,,,,,,,,,,,,,,,,,,,,,76dd0e2e-533d-4aed-b70b-301bff14ab3f,,,,,,,,,,,,,,,,10/19/2023 3:29:18 PM,ccber_user,10/19/2023 3:31:09 PM,ccber_user,,,,,,,,-119.87834396927,34.4182122356487
9,Lark Sparrow,3,No,Fence,,,,,,,,,,,,,,,,,,,,,421627b3-4c91-4964-8e16-e6e761ed31d7,,,,,,,,,,,,,,,,10/19/2023 3:29:56 PM,ccber_user,10/19/2023 3:31:21 PM,ccber_user,,,,,,,,-119.878293110252,34.4183427642184
10,Western Meadowlark,11,No,Bare ground,,,,,,,,,,,,,,,,,,,,,174de61b-bf6f-4849-a507-bddeffbf6da1,,,,,,,,,,,,,,,,10/19/2023 3:38:10 PM,ccber_user,10/19/2023 3:38:10 PM,ccber_user,,,,,,,,-119.87937269478,34.4181629068527
