OBJECTID,Species,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,Station ID,Number of Satellites,Fix Time,Average Horizontal Accuracy (m),Average Vertical Accuracy (m),Averaged Positions,Standard Deviation (m),CreationDate,Creator,EditDate,Editor,x,y
1,Killdeer,1,No,,,,,6.2,Mark Jeremiah lisa,700,,57,100,Fog,None,,,,,,,,,,37963930-78ad-471a-829f-bc198400fc9a,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:00:40 PM,ccber_user,7/8/2024 2:00:40 PM,ccber_user,-119.874292352641,34.4184758054795
2,Great Egret,1,No,Water - Wading,,,,,,,,,,,,,,,,,,,,,46546e5f-1416-4e11-8397-dba7eb7f25ae,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:02:43 PM,ccber_user,7/8/2024 2:02:43 PM,ccber_user,-119.874558684258,34.4177112927624
3,Pied-billed Grebe,1,No,Water - Floating,,,,,,,,,,,,,,,,,,,,,04691ced-6fd5-4146-96ca-8c6bad655853,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:03:36 PM,ccber_user,7/8/2024 2:03:36 PM,ccber_user,-119.874452748632,34.4177273440154
4,Mallard,7,No,Mud,,,,,,,,,,,,,,,,,,,,,282af764-6331-433d-b9aa-eb31f728e7d0,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:04:20 PM,ccber_user,7/8/2024 2:04:20 PM,ccber_user,-119.874126295467,34.4180755391003
5,House Finch,6,No,Fence,,,,,,,,,,,,,,,,,,,,,7eb9499d-ca79-4de0-9696-c93bcc5ebc24,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:05:30 PM,ccber_user,7/8/2024 2:05:30 PM,ccber_user,-119.874764068776,34.4175601166347
6,Great Blue Heron,2,No,Air,,,,,,,,,,,,,,,,,,,,,4209b5fc-9951-4b3a-ba7d-ae5c08bee204,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:06:07 PM,ccber_user,7/8/2024 2:06:07 PM,ccber_user,-119.874415995858,34.4178695486446
7,Great Egret,1,No,Mud,,,,,,,,,,,,,,,,,,,,,db52c816-2fc3-44e7-8d70-0d8d2e6c92a9,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:06:57 PM,ccber_user,7/8/2024 2:06:57 PM,ccber_user,-119.874247364113,34.4180728639028
8,California Towhee,2,No,Bare ground,,,,,,,,,,,,,,,,,,,,,3abf3d4c-3be1-4a7b-a55d-b5828da4fc58,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:08:53 PM,ccber_user,7/8/2024 2:08:53 PM,ccber_user,-119.873469064649,34.4179569388438
9,Black-necked Stilt,1,No,Mud,,,,,,,,,,,,,,,,,,,,,39033601-c582-40cb-bb60-650e1436300e,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:10:52 PM,ccber_user,7/8/2024 2:10:52 PM,ccber_user,-119.874573818176,34.4180675135076
10,Killdeer,1,No,Mud,,,,,,,,,,,,,,,,,,,,,41d8803e-9b13-42a9-b694-beb45c05fff8,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:11:08 PM,ccber_user,7/8/2024 2:11:08 PM,ccber_user,-119.874119809631,34.4180175762222
11,Cliff Swallow,9,No,Air,,,,,,,,,,,,,,,,,,,,,9a967e10-aa21-412d-bc4f-3d7b439442bf,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:11:37 PM,ccber_user,7/8/2024 2:11:37 PM,ccber_user,-119.874530578668,34.4183064972455
12,Western Gull,1,No,Air,,,,,,,,,,,,,,,,,,,,,b6c409d9-04e9-44f1-98cb-fffe8fcef3bc,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:14:09 PM,ccber_user,7/8/2024 2:14:09 PM,ccber_user,-119.873845243158,34.4180612716264
13,Canada Goose,21,No,Mud,,,,,,,,,,,,,,,,,,,,,8ed20039-c1b2-4547-ab85-884dd7a35f88,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:15:01 PM,ccber_user,7/8/2024 2:15:01 PM,ccber_user,-119.87535211764,34.4194256099349
14,Canada Goose,4,No,Mud,,,,,,,,,,,,,,,,,,,,,99284564-ca7a-47ae-960f-376190e04dae,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:15:19 PM,ccber_user,7/8/2024 2:15:19 PM,ccber_user,-119.875987728704,34.4193079030657
15,Western Gull,1,No,Mud,,,,,,,,,,,,,,,,,,,,,0acd5894-141b-44ab-ab28-3cc8f6d002f4,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:15:39 PM,ccber_user,7/8/2024 2:15:39 PM,ccber_user,-119.875245635837,34.4196332298054
16,Snowy Egret,1,No,Water - Wading,,,,,,,,,,,,,,,,,,,,,bf89c33b-1c2d-4031-a51e-b769e4ef54b5,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:18:35 PM,ccber_user,7/8/2024 2:18:35 PM,ccber_user,-119.876701169804,34.4198643333376
17,Black-necked Stilt,3,No,Mud,,,,,,,,,,,,,,,,,,,,,ce2f0e56-c574-441d-8560-79dde5760012,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:18:57 PM,ccber_user,7/8/2024 2:18:57 PM,ccber_user,-119.876892431908,34.4199318957916
18,Double-crested Cormorant,1,No,Habitat Feature - Snag,,,,,,,,,,,,,,,,,,,,,4151c904-bc89-48cb-bda5-d8901883eed7,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:19:26 PM,ccber_user,7/8/2024 2:19:26 PM,ccber_user,-119.876330327288,34.4197321516658
19,Gadwall,1,No,Water - Floating,,,,,,,,,,,,,,,,,,,,,a35573bc-dcf5-49b1-af6a-2d1045d9edcd,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:19:38 PM,ccber_user,7/8/2024 2:19:38 PM,ccber_user,-119.876728124652,34.4198248902016
20,Killdeer,2,No,Mud,,,juvenile,,,,,,,,,,,,,,,,,,7a0e7845-aafe-4938-8996-83e2400a77f9,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:19:55 PM,ccber_user,7/8/2024 2:22:56 PM,ccber_user,-119.87693224075,34.4198434620542
21,Cliff Swallow,2,No,Air,,,,,,,,,,,,,,,,,,,,,e620abec-9283-4e5d-acff-86743b4d1136,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:20:49 PM,ccber_user,7/8/2024 2:20:49 PM,ccber_user,-119.875935585095,34.4196098330057
22,Western Sandpiper,2,No,,,,sandpaper spp,,,,,,,,,,,,,,,,,,3b6fb155-02c5-4868-954b-d418da6a88ae,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:25:47 PM,ccber_user,7/8/2024 2:26:51 PM,ccber_user,-119.877230589222,34.4199950527386
23,Song Sparrow,1,No,Habitat Feature - Log,,,,,,,,,,,,,,,,,,,,,4a6d2f87-6c60-431d-9e05-2a68da680921,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:26:10 PM,ccber_user,7/8/2024 2:26:10 PM,ccber_user,-119.874504378404,34.4191728912153
24,,4,No,,,,Wilson's phalarope,,,,,,,,,,,,,,,,,,d71caa8c-d271-48cb-bbbf-e542db5a2603,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:27:55 PM,ccber_user,7/8/2024 2:29:04 PM,ccber_user,-119.875494108947,34.4197786443292
25,Black-necked Stilt,3,No,Mud,,,,,,,,,,,,,,,,,,,,,cfc128be-40f4-4f22-8005-53fbf639de25,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:28:36 PM,ccber_user,7/8/2024 2:28:36 PM,ccber_user,-119.875317269295,34.4196704691855
26,Barn Swallow,1,No,Air,,,,,,,,,,,,,,,,,,,,,3b3a522e-9c0e-42c5-96dd-af2611234b8f,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:29:38 PM,ccber_user,7/8/2024 2:29:38 PM,ccber_user,-119.875640608898,34.4193827978227
27,Gadwall,3,No,Water - Floating,,,,,,,,,,,,,,,,,,,,,5003da0c-1eaa-4334-afb7-df19e72f75d9,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:30:04 PM,ccber_user,7/8/2024 2:30:04 PM,ccber_user,-119.875614665553,34.4195076378304
28,Black-necked Stilt,2,No,Mud,,Other,juveniles. short bill light back,,,,,,,,,,,,,,,,,,4a33c536-66ed-443e-9e7c-5eadef60c48c,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:31:01 PM,ccber_user,7/8/2024 2:31:01 PM,ccber_user,-119.875210382352,34.4201407541542
29,Snowy Egret,1,No,Mud,,,,,,,,,,,,,,,,,,,,,12c2f3d9-d86f-4ade-a5ce-c7317e801baa,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:32:07 PM,ccber_user,7/8/2024 2:32:07 PM,ccber_user,-119.876225793932,34.4195985462503
30,Least Sandpiper,2,No,Mud,,,,,,,,,,,,,,,,,,,,,9936561e-9e11-444d-8c6c-e81382fa9fc3,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:34:01 PM,ccber_user,7/8/2024 2:34:01 PM,ccber_user,-119.87483350226,34.4202949734821
31,Mallard,4,No,Mud,,,,,,,,,,,,,,,,,,,,,1d2d9476-c58e-46f5-9e52-517de097314f,,,,,,,,,,,,,,,,,,,,,,,7/8/2024 2:35:06 PM,ccber_user,7/8/2024 2:35:06 PM,ccber_user,-119.874980514251,34.4201834436079
