species,category_x,e_bird_group,total_count,number_years,sort_v2025,species_code,taxon_concept_id,clements_v2025_change,text_for_website_v2025,category_y,scientific_name,authority,name_and_authority,range,order,family,extinct,extinct_year,sort_v2024
Snowy Egret,species,"Herons, Ibis, and Allies",392,8,7645,snoegr,avibase-AA7901D8,NA,NA,species,Egretta thula,"(Molina, 1782)","Egretta thula (Molina, 1782)",locally from USA to central Argentina and West Indies,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",NA,NA,7557
California Towhee,species,New World Sparrows,683,8,33350,caltow,avibase-B745D852,NA,NA,species,Melozone crissalis,"(Vigors, 1839)","Melozone crissalis (Vigors, 1839)",south-central Oregon through western and central California to southern Baja California,Passeriformes,Passerellidae (New World Sparrows),NA,NA,33068
Anna's Hummingbird,species,Hummingbirds,929,8,4814,annhum,avibase-42393721,NA,NA,species,Calypte anna,"(Lesson, 1829)","Calypte anna (Lesson, 1829)",breeds southwestern Alaska to northwestern Baja California (northwestern Mexico); winters to northern Mexico,Apodiformes,Trochilidae (Hummingbirds),NA,NA,4758
Song Sparrow,species,New World Sparrows,1989,8,33277,sonspa,avibase-A5F09E05,NA,NA,species,Melospiza melodia,"(Wilson, 1810)","Melospiza melodia (Wilson, 1810)","breeds in varied woodland, shrubby, and wetland habitats from Pacific coast of southern Alaska (including the Aleutian Islands) eastwards to Newfoundland (northeastern Canada), southwards in southwestern USA to central Baja California and northern Sonora (northwestern Mexico), locally in western Mexico and in the volcanic belt of central Mexico, and in eastern USA southwards to northern Georgia and western South Carolina; largely resident, but some wintering to northeastern Mexico",Passeriformes,Passerellidae (New World Sparrows),NA,NA,32995
Oak Titmouse,species,"Tits, Chickadees, and Titmice",59,7,22150,oaktit,avibase-715D4DDE,NA,NA,species,Baeolophus inornatus,"(Gambel, 1845)","Baeolophus inornatus (Gambel, 1845)","oak woodland from lowlands to mountains of southern Oregon through California to northern, and disjunctly, far southern Baja California (northwestern Mexico)",Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",NA,NA,21926
Say's Phoebe,species,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",397,8,17010,saypho,avibase-28669A3D,NA,NA,species,Sayornis saya,"(Bonaparte, 1825)","Sayornis saya (Bonaparte, 1825)",breeds in dry open country from lowlands to mountains of western North America from northern Alaska and northwestern Canada southward through central Baja California and central plateau of Mexico; non-breeders withdraw mainly to southwestern USA and south-central Mexico,Passeriformes,Tyrannidae (Tyrant Flycatchers),NA,NA,16843
Acorn Woodpecker,species,Woodpeckers,23,6,11146,acowoo,avibase-7E327303,NA,NA,species,Melanerpes formicivorus,"(Swainson, 1827)","Melanerpes formicivorus (Swainson, 1827)","oak and pine-oak forest from western Oregon, USA (occasionally northward to Washington and British Columbia, southwestern Canada), southward across California to northern Baja California Norte (and isolated in southern Baja California Peninsula), in Mexico; in mountainous regions of Arizona, New Mexico and southern Texas southward along the Sierra Madre Oriental and Occidental southeastward across montane regions of Central America, including Belize and northern El Salvador, eastward to western Panama; in South America only the Andes of Colombia southward to northern Nariño and Putumayo",Piciformes,Picidae (Woodpeckers),NA,NA,11036
House Finch,species,"Finches, Euphonias, and Allies",2429,8,32310,houfin,avibase-89431E9F,NA,NA,species,Haemorhous mexicanus,"(Müller, 1776)","Haemorhous mexicanus (Müller, 1776)","desert scrub, cacti, and grassland, and varied woodland and anthropogenic habitats from southern British Columbia eastwards to Nova Scotia (southwestern to southeastern Canada) southwards in western USA through Mexico to northern Oaxaca and Veracruz, including Baja California and Isla Guadalupe; introduced to Hawaii, and to northeastern USA from whence has spread to southeastern Canada to Florida",Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",NA,NA,32034
California Scrub-Jay,species,"Jays, Magpies, Crows, and Ravens",20,6,21303,cowscj1,avibase-151C2B3F,NA,NA,species,Aphelocoma californica,"(Vigors, 1839)","Aphelocoma californica (Vigors, 1839)","mostly shrubland, chaparral, and oak-pine woodland from far southwestern British Columbia (southwestern Canada) along Pacific coast and interior Washington and Oregon, southwards to southern Baja California",Passeriformes,"Corvidae (Crows, Jays, and Magpies)",NA,NA,21075
Nuttall's Woodpecker,species,Woodpeckers,30,7,11410,nutwoo,avibase-FA087E52,NA,NA,species,Dryobates nuttallii,"(Gambel, 1843)","Dryobates nuttallii (Gambel, 1843)",chaparral and oak woodland of northern California to northwestern Baja,Piciformes,Picidae (Woodpeckers),NA,NA,11297
