station,valid,p01m
SBA,9/1/2017 0:53,0
SBA,9/1/2017 1:53,0
SBA,9/1/2017 2:53,0
SBA,9/1/2017 3:53,0
SBA,9/1/2017 4:53,0
SBA,9/1/2017 5:53,0
SBA,9/1/2017 6:53,0
SBA,9/1/2017 7:53,0
SBA,9/1/2017 8:53,0
SBA,9/1/2017 9:53,0
SBA,9/1/2017 10:53,0
SBA,9/1/2017 11:53,0
SBA,9/1/2017 12:53,0
SBA,9/1/2017 13:53,0
SBA,9/1/2017 14:53,0
SBA,9/1/2017 15:53,0
SBA,9/1/2017 16:53,0
SBA,9/1/2017 17:53,0
SBA,9/1/2017 18:53,0
SBA,9/1/2017 19:53,0
SBA,9/1/2017 20:53,0
SBA,9/1/2017 21:53,0
SBA,9/1/2017 22:53,0
SBA,9/1/2017 23:53,0
SBA,9/2/2017 0:53,0
SBA,9/2/2017 1:53,0
SBA,9/2/2017 2:53,0
SBA,9/2/2017 3:53,0
SBA,9/2/2017 4:53,0
SBA,9/2/2017 5:53,0
SBA,9/2/2017 6:53,0
SBA,9/2/2017 7:53,0
SBA,9/2/2017 8:53,0
SBA,9/2/2017 9:53,0
SBA,9/2/2017 10:53,0
SBA,9/2/2017 11:53,0
SBA,9/2/2017 12:53,0
SBA,9/2/2017 13:53,0
SBA,9/2/2017 14:53,0
SBA,9/2/2017 15:53,0
SBA,9/2/2017 16:53,0
SBA,9/2/2017 17:53,0
SBA,9/2/2017 18:53,0
SBA,9/2/2017 19:53,0
SBA,9/2/2017 20:53,0
SBA,9/2/2017 21:53,0
SBA,9/2/2017 22:53,0
SBA,9/2/2017 23:53,0
SBA,9/3/2017 0:53,0
SBA,9/3/2017 1:53,0
SBA,9/3/2017 2:53,0
SBA,9/3/2017 3:53,0
SBA,9/3/2017 4:53,0
SBA,9/3/2017 5:53,0
SBA,9/3/2017 6:53,0
SBA,9/3/2017 7:53,0
SBA,9/3/2017 8:53,0
SBA,9/3/2017 9:53,0
SBA,9/3/2017 10:53,0
SBA,9/3/2017 11:53,0
SBA,9/3/2017 12:53,0
SBA,9/3/2017 13:53,0
SBA,9/3/2017 14:53,0
SBA,9/3/2017 15:03,0.0001
SBA,9/3/2017 15:12,0.0001
SBA,9/3/2017 15:28,0
SBA,9/3/2017 15:44,0
SBA,9/3/2017 15:53,0
SBA,9/3/2017 16:53,0
SBA,9/3/2017 17:53,0
SBA,9/3/2017 18:53,0
SBA,9/3/2017 19:53,0
SBA,9/3/2017 20:53,0
SBA,9/3/2017 21:53,0
SBA,9/3/2017 22:53,0
SBA,9/3/2017 23:53,0
SBA,9/4/2017 0:53,0
SBA,9/4/2017 1:53,0
SBA,9/4/2017 2:53,0
SBA,9/4/2017 3:48,0
SBA,9/4/2017 3:53,0
SBA,9/4/2017 4:04,0
SBA,9/4/2017 4:24,0
SBA,9/4/2017 4:53,0.0001
SBA,9/4/2017 5:53,0.0001
SBA,9/4/2017 6:53,0.25
SBA,9/4/2017 7:53,0
SBA,9/4/2017 8:53,0
SBA,9/4/2017 9:53,0
SBA,9/4/2017 10:53,0
SBA,9/4/2017 11:00,0
SBA,9/4/2017 11:53,0
SBA,9/4/2017 12:53,0
SBA,9/4/2017 13:53,0
SBA,9/4/2017 14:53,0
SBA,9/4/2017 15:53,0
SBA,9/4/2017 16:53,0
SBA,9/4/2017 17:53,0
SBA,9/4/2017 18:53,0
SBA,9/4/2017 19:53,0
SBA,9/4/2017 20:53,0
SBA,9/4/2017 21:53,0
SBA,9/4/2017 22:53,0
SBA,9/4/2017 23:53,0
SBA,9/5/2017 0:53,0
SBA,9/5/2017 1:53,0
SBA,9/5/2017 2:53,0
SBA,9/5/2017 3:53,0
SBA,9/5/2017 4:53,0
SBA,9/5/2017 5:16,0
SBA,9/5/2017 5:43,0
SBA,9/5/2017 5:53,0
SBA,9/5/2017 6:36,0
SBA,9/5/2017 6:53,0
SBA,9/5/2017 7:53,0
SBA,9/5/2017 8:53,0
SBA,9/5/2017 9:53,0
SBA,9/5/2017 10:44,0
SBA,9/5/2017 10:46,0
SBA,9/5/2017 10:53,0
SBA,9/5/2017 11:53,0
SBA,9/5/2017 12:53,0
SBA,9/5/2017 13:53,0
SBA,9/5/2017 14:53,0
SBA,9/5/2017 15:53,0
SBA,9/5/2017 16:53,0
SBA,9/5/2017 17:53,0
SBA,9/5/2017 18:53,0
SBA,9/5/2017 19:53,0
SBA,9/5/2017 20:53,0
SBA,9/5/2017 21:53,0
SBA,9/5/2017 22:53,0
SBA,9/5/2017 23:53,0
SBA,9/6/2017 0:53,0
SBA,9/6/2017 1:53,0
SBA,9/6/2017 2:53,0
SBA,9/6/2017 3:53,0
SBA,9/6/2017 4:28,0
SBA,9/6/2017 4:36,0
SBA,9/6/2017 4:53,0
SBA,9/6/2017 5:36,0
SBA,9/6/2017 5:53,0
SBA,9/6/2017 6:53,0
SBA,9/6/2017 7:53,0
SBA,9/6/2017 8:53,0
SBA,9/6/2017 9:53,0
SBA,9/6/2017 10:27,0
SBA,9/6/2017 10:53,0
SBA,9/6/2017 11:53,0
SBA,9/6/2017 12:53,0
SBA,9/6/2017 13:53,0
SBA,9/6/2017 14:53,0
SBA,9/6/2017 15:53,0
SBA,9/6/2017 16:53,0
SBA,9/6/2017 17:53,0
SBA,9/6/2017 18:53,0
SBA,9/6/2017 19:53,0
SBA,9/6/2017 20:53,0
SBA,9/6/2017 21:53,0
SBA,9/6/2017 22:53,0
SBA,9/6/2017 23:53,0
SBA,9/7/2017 0:53,0
SBA,9/7/2017 1:53,0
SBA,9/7/2017 2:53,0
SBA,9/7/2017 3:53,0
SBA,9/7/2017 4:53,0
SBA,9/7/2017 5:53,0
SBA,9/7/2017 6:53,0
SBA,9/7/2017 7:53,0
SBA,9/7/2017 8:53,0
SBA,9/7/2017 9:53,0
SBA,9/7/2017 10:53,0
SBA,9/7/2017 11:53,0
SBA,9/7/2017 12:53,0
SBA,9/7/2017 13:53,0
SBA,9/7/2017 14:53,0
SBA,9/7/2017 15:53,0
SBA,9/7/2017 16:53,0
SBA,9/7/2017 17:53,0
SBA,9/7/2017 18:53,0
SBA,9/7/2017 19:53,0
SBA,9/7/2017 20:53,0
SBA,9/7/2017 21:53,0
SBA,9/7/2017 22:53,0
SBA,9/7/2017 23:53,0
SBA,9/8/2017 0:53,0
SBA,9/8/2017 1:53,0
SBA,9/8/2017 2:53,0
SBA,9/8/2017 3:53,0
SBA,9/8/2017 4:53,0
SBA,9/8/2017 5:53,0
SBA,9/8/2017 6:53,0
SBA,9/8/2017 7:53,0
SBA,9/8/2017 8:53,0
SBA,9/8/2017 9:53,0
SBA,9/8/2017 10:53,0
SBA,9/8/2017 11:53,0
SBA,9/8/2017 12:53,0
SBA,9/8/2017 13:53,0
SBA,9/8/2017 14:53,0
SBA,9/8/2017 15:53,0
SBA,9/8/2017 16:53,0
SBA,9/8/2017 17:53,0
SBA,9/8/2017 18:53,0
SBA,9/8/2017 19:53,0
SBA,9/8/2017 20:53,0
SBA,9/8/2017 21:53,0
