Observation.Date,Year,Species,General.Type,eBird.Group,Count,Substrate,Repeat.Observation,Sex,Breeding.Activity,Slough.Water.Elevation..ft.
10/23/2020,2020,American Crow,Omnivores,"Jays, Magpies, Crows, and Ravens",3,Vegetation - Tree,No,,,4.1
10/23/2020,2020,American Crow,Omnivores,"Jays, Magpies, Crows, and Ravens",1,Vegetation - Tree,No,,,4.1
10/23/2020,2020,American Crow,Omnivores,"Jays, Magpies, Crows, and Ravens",1,Air,No,,,4.1
10/23/2020,2020,American Crow,Omnivores,"Jays, Magpies, Crows, and Ravens",1,Bare ground,No,,,4.1
10/23/2020,2020,American Crow,Omnivores,"Jays, Magpies, Crows, and Ravens",6,Bare ground,No,,,4.1
10/23/2020,2020,American Crow,Omnivores,"Jays, Magpies, Crows, and Ravens",3,Flyover,No,,,4.1
10/23/2020,2020,American Crow,Omnivores,"Jays, Magpies, Crows, and Ravens",25,,No,,,4.1
10/23/2020,2020,American Crow,Omnivores,"Jays, Magpies, Crows, and Ravens",1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,American Crow,Omnivores,"Jays, Magpies, Crows, and Ravens",16,Vegetation - Tree,Yes,,,4.1
10/23/2020,2020,American Kestrel,Raptors,Falcons and Caracaras,1,Habitat Feature - Snag,No,,,4.1
10/23/2020,2020,Anna's Hummingbird,Hummingbirds,Hummingbirds,2,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Anna's Hummingbird,Hummingbirds,Hummingbirds,1,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Anna's Hummingbird,Hummingbirds,Hummingbirds,1,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Anna's Hummingbird,Hummingbirds,Hummingbirds,1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Anna's Hummingbird,Hummingbirds,Hummingbirds,1,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Anna's Hummingbird,Hummingbirds,Hummingbirds,1,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Anna's Hummingbird,Hummingbirds,Hummingbirds,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Anna's Hummingbird,Hummingbirds,Hummingbirds,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Anna's Hummingbird,Hummingbirds,Hummingbirds,2,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Bewick's Wren,Insectivores - Terrestrial,Wrens,1,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Bewick's Wren,Insectivores - Terrestrial,Wrens,1,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Bewick's Wren,Insectivores - Terrestrial,Wrens,1,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Bewick's Wren,Insectivores - Terrestrial,Wrens,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Black Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Bridge,No,,,4.1
