species,general_type,total_count
Mallard,Waterfowl & Friends,2601
Killdeer,Shorebirds,2429
Canada Goose,Waterfowl & Friends,1792
American Coot,Waterfowl & Friends,1535
Least Sandpiper,Shorebirds,957
Semipalmated Plover,Shorebirds,806
Western Sandpiper,Shorebirds,591
Northern Shoveler,Waterfowl & Friends,552
Gadwall,Waterfowl & Friends,444
American Wigeon,Waterfowl & Friends,184
Black-necked Stilt,Shorebirds,176
Greater White-fronted Goose,Waterfowl & Friends,173
Cinnamon Teal,Waterfowl & Friends,149
Ruddy Duck,Waterfowl & Friends,147
Greater Yellowlegs,Shorebirds,144
Redhead,Waterfowl & Friends,125
Green-winged Teal,Waterfowl & Friends,66
Sora,Waterfowl & Friends,59
Pied-billed Grebe,Waterfowl & Friends,58
Snow Goose,Waterfowl & Friends,48
Long-billed Curlew,Shorebirds,47
Sandpiper sp.,Shorebirds,40
Long-billed Dowitcher,Shorebirds,38
Western Snowy Plover,Shorebirds,37
Red-necked Phalarope,Shorebirds,32
Peep sp.,Shorebirds,28
Eared Grebe,Waterfowl & Friends,26
Hooded Merganser,Waterfowl & Friends,26
Cackling Goose (Aleutian),Waterfowl & Friends,23
Northern Pintail,Waterfowl & Friends,22
Wilson's Snipe,Shorebirds,21
Ring-necked Duck,Waterfowl & Friends,19
Bufflehead,Waterfowl & Friends,17
Ross's Goose,Waterfowl & Friends,11
Spotted Sandpiper,Shorebirds,10
Virginia Rail,Waterfowl & Friends,10
Dowitcher sp.,Shorebirds,9
Lesser Yellowlegs,Shorebirds,8
American Avocet,Shorebirds,6
Blue-winged Teal,Waterfowl & Friends,6
Whimbrel,Shorebirds,6
Clark's Grebe,Waterfowl & Friends,5
Canvasback,Waterfowl & Friends,4
Pectoral Sandpiper,Shorebirds,3
Western Grebe,Waterfowl & Friends,3
Dunlin,Shorebirds,2
Sanderling,Shorebirds,2
Solitary Sandpiper,Shorebirds,2
Willet,Shorebirds,2
Cinnamon Teal x Northern Shoveler (hybrid),Waterfowl & Friends,1
Mute Swan,Waterfowl & Friends,1
Swan sp.,Waterfowl & Friends,1
