species,general_type,total_count
Western Gull,Gulls & Terns,434
Snowy Egret,"Herons, Egrets, Ibis",392
Great Egret,"Herons, Egrets, Ibis",294
Black-crowned Night-Heron,"Herons, Egrets, Ibis",205
Ring-billed Gull,Gulls & Terns,195
California Gull,Gulls & Terns,161
Great Blue Heron,"Herons, Egrets, Ibis",110
Double-crested Cormorant,Cormorants,93
Mew Gull,Gulls & Terns,53
Belted Kingfisher,Kingfishers,25
Green Heron,"Herons, Egrets, Ibis",24
Caspian Tern,Gulls & Terns,17
White-faced Ibis,"Herons, Egrets, Ibis",6
