species,general_type,total_count
Western Gull,Gulls & Terns,445
Snowy Egret,"Herons, Egrets, Ibis",399
Great Egret,"Herons, Egrets, Ibis",304
Black-crowned Night Heron,"Herons, Egrets, Ibis",236
Ring-billed Gull,Gulls & Terns,206
California Gull,Gulls & Terns,176
Great Blue Heron,"Herons, Egrets, Ibis",113
Double-crested Cormorant,Cormorants,99
Common Gull,Gulls & Terns,54
Belted Kingfisher,Kingfishers,30
Green Heron,"Herons, Egrets, Ibis",25
Caspian Tern,Gulls & Terns,17
White-faced Ibis,"Herons, Egrets, Ibis",11
