eBird species code 2018,sort v2018,category,English name,scientific name,range,order,family,eBird species group,extinct,extinct year,,,,,,,,,,,,,,,,,,,
ostric2,1.0,species,Common Ostrich,Struthio camelus,,Struthioniformes,Struthionidae (Ostriches),Ostriches,,,,,,,,,,,,,,,,,,,,,
,2.0,subspecies,,Struthio camelus camelus,Sahel of North Africa and the Sudan,Struthioniformes,Struthionidae (Ostriches),Ostriches,,,,,,,,,,,,,,,,,,,,,
,3.0,subspecies,,Struthio camelus syriacus,Formerly Syrian and Arabian deserts. Extinct ca. 1966,Struthioniformes,Struthionidae (Ostriches),Ostriches,1,1966,,,,,,,,,,,,,,,,,,,
,4.0,subspecies,,Struthio camelus massaicus,S Kenya and e Tanzania,Struthioniformes,Struthionidae (Ostriches),Ostriches,,,,,,,,,,,,,,,,,,,,,
,5.0,subspecies,,Struthio camelus australis,Southern Africa,Struthioniformes,Struthionidae (Ostriches),Ostriches,,,,,,,,,,,,,,,,,,,,,
ostric3,6.0,species,Somali Ostrich,Struthio molybdophanes,S Ethiopia to Somalia and adjacent ne Kenya,Struthioniformes,Struthionidae (Ostriches),Ostriches,,,,,,,,,,,,,,,,,,,,,
y00934,7.0,slash,Common/Somali Ostrich,Struthio camelus/molybdophanes,,Struthioniformes,Struthionidae (Ostriches),Ostriches,,,,,,,,,,,,,,,,,,,,,
grerhe1,8.0,species,Greater Rhea,Rhea americana,,Rheiformes,Rheidae (Rheas),Rheas,,,,,,,,,,,,,,,,,,,,,
,9.0,subspecies,,Rhea americana araneipes,"western Brazil (southern Rondônia and Mato Grosso), eastern Bolivia, and western Paraguay (chaco region)",Rheiformes,Rheidae (Rheas),Rheas,,,,,,,,,,,,,,,,,,,,,
,10.0,subspecies,,Rhea americana americana,central and northeastern Brazil (to Rio Grande do Norte) to southern Brazil (south to São Paulo and Paraná),Rheiformes,Rheidae (Rheas),Rheas,,,,,,,,,,,,,,,,,,,,,
,11.0,subspecies,,Rhea americana nobilis,E Paraguay (east of the Río Paraguay),Rheiformes,Rheidae (Rheas),Rheas,,,,,,,,,,,,,,,,,,,,,
,12.0,subspecies,,Rhea americana albescens,Plains of Argentina south to Río Negro,Rheiformes,Rheidae (Rheas),Rheas,,,,,,,,,,,,,,,,,,,,,
,13.0,subspecies,,Rhea americana intermedia,extreme southern Brazil (Rio Grande do Sul) and Uruguay,Rheiformes,Rheidae (Rheas),Rheas,,,,,,,,,,,,,,,,,,,,,
lesrhe2,14.0,species,Lesser Rhea,Rhea pennata,,Rheiformes,Rheidae (Rheas),Rheas,,,,,,,,,,,,,,,,,,,,,
lesrhe4,15.0,group (polytypic),Lesser Rhea (Puna),Rhea pennata tarapacensis/garleppi,,Rheiformes,Rheidae (Rheas),Rheas,,,,,,,,,,,,,,,,,,,,,
,16.0,subspecies,,Rhea pennata garleppi,"Desert puna of se Peru, sw Bolivia and nw Argentina",Rheiformes,Rheidae (Rheas),Rheas,,,,,,,,,,,,,,,,,,,,,
,17.0,subspecies,,Rhea pennata tarapacensis,Puna of n Chile (Arica to Atacama),Rheiformes,Rheidae (Rheas),Rheas,,,,,,,,,,,,,,,,,,,,,
lesrhe3,18.0,group (monotypic),Lesser Rhea (Darwin's),Rhea pennata pennata,Patagonian steppes of s Argentina and Magellanic Chile,Rheiformes,Rheidae (Rheas),Rheas,,,,,,,,,,,,,,,,,,,,,
tabtin1,19.0,species,Tawny-breasted Tinamou,Nothocercus julius,Andes of central Colombia and extreme w Venezuela; s-c Peru,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
higtin1,20.0,species,Highland Tinamou,Nothocercus bonapartei,,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
higtin2,21.0,group (polytypic),Highland Tinamou (South American),Nothocercus bonapartei [bonapartei Group],,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,22.0,subspecies,,Nothocercus bonapartei intercedens,W Andes of Colombia,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,23.0,subspecies,,Nothocercus bonapartei discrepans,Base of Eastern Andes of Colombia (Tolima and Meta),Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
,24.0,subspecies,,Nothocercus bonapartei bonapartei,Central and E Andes of Colombia and w Venezuela,Tinamiformes,Tinamidae (Tinamous),Tinamous,,,,,,,,,,,,,,,,,,,,,
