Sum of Count,,,,,
,"Glenn, Lisa",,"Steven Ortega, Oliver Fahrner",,Grand Total
Repeat?,No,Yes,No,Yes,
American Crow,10,,,,10
Anna's Hummingbird,9,,11,,20
Ash-throated Flycatcher,1,,1,,2
Black Phoebe,6,,4,,10
Black-crowned Night-Heron,1,,,,1
Bushtit,18,,,,18
California Towhee,4,,3,1,7
Canada Goose,45,40,,13,45
Cassin's Kingbird,1,,2,,3
Cliff Swallow,25,,60,,85
Common Yellowthroat,,,2,,2
Dark-eyed Junco,6,,,,6
Great Blue Heron,1,,1,,2
Great Egret,,,1,,1
Great Horned Owl,,,2,,2
Hooded Oriole,1,,,,1
House Finch,27,,12,,39
House Sparrow,3,,15,,18
Lark Sparrow,,,8,,8
Lesser Goldfinch,11,,9,,20
Mallard,5,,1,,6
Mourning Dove,,,3,,3
Northern Mockingbird,2,,,,2
Nuttall's Woodpecker,2,,,,2
Oak Titmouse,,,2,,2
Red-shouldered Hawk,2,1,,,2
Red-tailed Hawk,2,,,1,2
Rock Pigeon (Feral Pigeon),11,,25,,36
Rufous/Allen's Hummingbird,,,3,,3
Say's Phoebe,2,,,,2
Scaly-breasted Munia,7,,4,,11
Snowy Egret,1,,,,1
Song Sparrow,9,,4,,13
Turkey Vulture,,1,1,,1
Western Bluebird,3,,,,3
Western Gull,3,,,,3
Western Snowy Plover,3,,,,3
(blank),,,,,
Grand Total,223,40,175,14,452
