species,e_bird_group,general_type
Snow Goose,Waterfowl,Waterfowl & Friends
Ross's Goose,Waterfowl,Waterfowl & Friends
Greater White-fronted Goose,Waterfowl,Waterfowl & Friends
Cackling Goose,Waterfowl,NA
Canada Goose,Waterfowl,Waterfowl & Friends
Mute Swan,Waterfowl,Waterfowl & Friends
Blue-winged Teal,Waterfowl,Waterfowl & Friends
Cinnamon Teal,Waterfowl,Waterfowl & Friends
Northern Shoveler,Waterfowl,Waterfowl & Friends
Cinnamon Teal x Northern Shoveler (hybrid),Waterfowl,Waterfowl & Friends
Gadwall,Waterfowl,Waterfowl & Friends
American Wigeon,Waterfowl,Waterfowl & Friends
Mallard,Waterfowl,Waterfowl & Friends
Northern Pintail,Waterfowl,Waterfowl & Friends
Green-winged Teal,Waterfowl,Waterfowl & Friends
Canvasback,Waterfowl,Waterfowl & Friends
Redhead,Waterfowl,Waterfowl & Friends
Ring-necked Duck,Waterfowl,Waterfowl & Friends
Bufflehead,Waterfowl,Waterfowl & Friends
Hooded Merganser,Waterfowl,Waterfowl & Friends
Red-breasted Merganser,Waterfowl,NA
Ruddy Duck,Waterfowl,Waterfowl & Friends
California Quail,"Grouse, Quail, and Allies",Seed & Fruit Eaters
Eurasian Collared-Dove,Pigeons and Doves,Seed & Fruit Eaters
Mourning Dove,Pigeons and Doves,Seed & Fruit Eaters
Vaux's Swift,Swifts,Insectivores - Aerial
White-throated Swift,Swifts,NA
Black-chinned Hummingbird,Hummingbirds,Hummingbirds
Anna's Hummingbird,Hummingbirds,Hummingbirds
Rufous Hummingbird,Hummingbirds,Hummingbirds
Allen's Hummingbird,Hummingbirds,Hummingbirds
Rufous/Allen's Hummingbird,Hummingbirds,NA
Selasphorus sp.,Hummingbirds,Hummingbirds
Virginia Rail,"Rails, Gallinules, and Allies",Waterfowl & Friends
Sora,"Rails, Gallinules, and Allies",Waterfowl & Friends
American Coot,"Rails, Gallinules, and Allies",Waterfowl & Friends
Black-necked Stilt,Shorebirds,Shorebirds
American Avocet,Shorebirds,Shorebirds
Black-bellied Plover,Shorebirds,NA
Killdeer,Shorebirds,Shorebirds
Semipalmated Plover,Shorebirds,Shorebirds
Hudsonian Whimbrel,Shorebirds,Shorebirds
Long-billed Curlew,Shorebirds,Shorebirds
Marbled Godwit,Shorebirds,NA
Short-billed Dowitcher,Shorebirds,NA
Long-billed Dowitcher,Shorebirds,Shorebirds
Short-billed/Long-billed Dowitcher,Shorebirds,NA
Wilson's Snipe,Shorebirds,Shorebirds
Wilson's Phalarope,Shorebirds,NA
Red-necked Phalarope,Shorebirds,Shorebirds
Spotted Sandpiper,Shorebirds,Shorebirds
Solitary Sandpiper,Shorebirds,Shorebirds
Lesser Yellowlegs,Shorebirds,Shorebirds
Willet,Shorebirds,Shorebirds
Greater Yellowlegs,Shorebirds,Shorebirds
Sanderling,Shorebirds,Shorebirds
Dunlin,Shorebirds,Shorebirds
Least Sandpiper,Shorebirds,Shorebirds
Pectoral Sandpiper,Shorebirds,Shorebirds
