year,month,survey_completed,file_downloaded,filename,notes
2018,1,,,,
2018,2,,,,
2018,3,,,,
2018,4,,,,
2018,5,,,,
2018,6,,,,
2018,7,,,,
2018,8,,,,
2018,9,,,,
2018,10,,,,
2018,11,,,,
2018,12,,,,
2019,1,,,,
2019,2,,,,
2019,3,,,,
2019,4,,,,
2019,5,,,,
2019,6,,,,
2019,7,,,,
2019,8,,,,
2019,9,,,,
2019,10,,,,
2019,11,,,,
2019,12,,,,
2020,1,,,,
2020,2,,,,
2020,3,,,,
2020,4,,,,
2020,5,,,,
2020,6,,,,
2020,7,,,,
2020,8,,,,
2020,9,,,,
2020,10,,,,
2020,11,,,,
2020,12,,,,
2021,1,,TRUE,,
2021,2,,,,
2021,3,,,,
2021,4,,,,
2021,5,,,,
2021,6,,TRUE,,
2021,7,,,,
2021,8,,TRUE,,
2021,9,,TRUE,,
2021,10,,,,
2021,11,,TRUE,,
2021,12,,TRUE,,
2022,1,,TRUE,,
2022,2,,TRUE,,
2022,3,,TRUE,,
2022,4,,TRUE,,
2022,5,,TRUE,,
2022,6,,TRUE,,
2022,7,,TRUE,,
2022,8,,TRUE,,
2022,9,,TRUE,,
2022,10,,TRUE,,
2022,11,,TRUE,,
2022,12,,TRUE,,two separate files for December
2023,1,,TRUE,,
2023,2,,TRUE,,
2023,3,,TRUE,,
2023,4,,TRUE,,
2023,5,,TRUE,,
2023,6,,TRUE,,
2023,7,,TRUE,,
2023,8,,TRUE,,
2023,9,,TRUE,,
2023,10,,TRUE,,
2023,11,,TRUE,,
2023,12,,TRUE,,
2024,1,,TRUE,,
2024,2,,TRUE,,
2024,3,,TRUE,,
2024,4,,TRUE,,
2024,5,,TRUE,,
2024,6,,TRUE,,
2024,7,,TRUE,,
2024,8,,TRUE,,
2024,9,,TRUE,,
2024,10,,TRUE,,
2024,11,,TRUE,,
2024,12,,TRUE,,
2025,1,,TRUE,,
2025,2,,TRUE,,
2025,3,,TRUE,,
2025,4,,TRUE,,
2025,5,,TRUE,,
2025,6,,TRUE,,
2025,7,,TRUE,,
2025,8,,TRUE,,
2025,9,,,,
,,,,,
,,,,,
,,,,,
